seed,fold,model,curve_nrmse,final_reference,final_prediction,monotonic,bounded
98251,0,gnn_v1_ensemble,0.12732977267669648,0.3129742683579579,0.25934065381685895,True,True
129121,0,gnn_v1_ensemble,0.10562629804212952,0.226316329052256,0.25976431369781494,True,True
27183,1,gnn_v2_init_11,0.11885187358593828,0.3148366297083697,0.26517996191978455,True,True
105019,1,gnn_v2_init_11,0.21121045822103096,0.2055532556608265,0.2655089497566223,True,True
121021,1,gnn_v2_init_11,0.009976140199874839,0.2685458230112915,0.2653070390224457,True,True
145093,1,gnn_v2_init_11,0.017623647953629713,0.2725654795364886,0.26567819714546204,True,True
27183,1,gnn_v2_init_29,0.1193883285500935,0.3148366297083697,0.2647380232810974,True,True
105019,1,gnn_v2_init_29,0.20953100571941963,0.2055532556608265,0.26476913690567017,True,True
121021,1,gnn_v2_init_29,0.01046024666912695,0.2685458230112915,0.2647770941257477,True,True
145093,1,gnn_v2_init_29,0.01895001858271551,0.2725654795364886,0.2649173140525818,True,True
27183,1,gnn_v2_init_47,0.11803809428235422,0.3148366297083697,0.26553383469581604,True,True
105019,1,gnn_v2_init_47,0.20928588657018413,0.2055532556608265,0.26484400033950806,True,True
121021,1,gnn_v2_init_47,0.010309176144841298,0.2685458230112915,0.2647927701473236,True,True
145093,1,gnn_v2_init_47,0.018421065122079236,0.2725654795364886,0.26530903577804565,True,True
27183,1,gnn_v2_ensemble,0.1187591906452064,0.3148366297083697,0.26515060663223267,True,True
105019,1,gnn_v2_ensemble,0.21000875006825714,0.2055532556608265,0.26504069566726685,True,True
121021,1,gnn_v2_ensemble,0.01023704763337898,0.2685458230112915,0.2649589677651723,True,True
145093,1,gnn_v2_ensemble,0.018329335629854542,0.2725654795364886,0.2653015156586965,True,True
27183,1,mean_curve,0.12019922142219441,0.3148366297083697,0.26437187914772625,True,True
105019,1,mean_curve,0.20806995979784912,0.2055532556608265,0.26437187914772625,True,True
121021,1,mean_curve,0.010596999120100998,0.2685458230112915,0.26437187914772625,True,True
145093,1,mean_curve,0.020445201457914158,0.2725654795364886,0.26437187914772625,True,True
27183,1,G_access_power_1D,0.013216261340846308,0.3148366297083697,0.3059932460718341,True,True
105019,1,G_access_power_1D,0.03083971234581007,0.2055532556608265,0.2009367150424884,True,True
121021,1,G_access_power_1D,0.03193434231565609,0.2685458230112915,0.2672369015423527,True,True
145093,1,G_access_power_1D,0.020036858780071703,0.2725654795364886,0.26967065036601495,True,True
27183,1,gnn_v1_ensemble,0.12015657331400492,0.3148366297083697,0.2645612160364787,True,True
105019,1,gnn_v1_ensemble,0.2084908520814076,0.2055532556608265,0.2646484971046448,True,True
121021,1,gnn_v1_ensemble,0.010600602064101473,0.2685458230112915,0.26456304391225177,True,True
145093,1,gnn_v1_ensemble,0.019889899091861205,0.2725654795364886,0.26473479469617206,True,True
47837,2,gnn_v2_init_11,0.008687577019082968,0.2643349040834956,0.2655796408653259,True,True
61417,2,gnn_v2_init_11,0.16725270039684004,0.2149245541232466,0.2655717432498932,True,True
81929,2,gnn_v2_init_11,0.04525286360002358,0.2485817652085521,0.2655034363269806,True,True
90709,2,gnn_v2_init_11,0.04157702935678407,0.2847758578739309,0.2655816972255707,True,True
47837,2,gnn_v2_init_29,0.010621824368413049,0.2643349040834956,0.2694229781627655,True,True
61417,2,gnn_v2_init_29,0.18142528725717708,0.2149245541232466,0.26949653029441833,True,True
81929,2,gnn_v2_init_29,0.05720348480338783,0.2485817652085521,0.26937249302864075,True,True
90709,2,gnn_v2_init_29,0.03186963871886102,0.2847758578739309,0.26936113834381104,True,True
47837,2,gnn_v2_init_47,0.008739200946287294,0.2643349040834956,0.265409380197525,True,True
61417,2,gnn_v2_init_47,0.16744821318515554,0.2149245541232466,0.26556074619293213,True,True
81929,2,gnn_v2_init_47,0.04531919616018514,0.2485817652085521,0.26542118191719055,True,True
90709,2,gnn_v2_init_47,0.04205950166468049,0.2847758578739309,0.2652852237224579,True,True
47837,2,gnn_v2_ensemble,0.007688679617366992,0.2643349040834956,0.26680399974187213,True,True
61417,2,gnn_v2_ensemble,0.17204034566175272,0.2149245541232466,0.26687633991241455,True,True
81929,2,gnn_v2_ensemble,0.04924904157448096,0.2485817652085521,0.26676570375760394,True,True
90709,2,gnn_v2_ensemble,0.03846479247496208,0.2847758578739309,0.2667426864306132,True,True
47837,2,mean_curve,0.007680162637861514,0.2643349040834956,0.26742713581196065,True,True
61417,2,mean_curve,0.17535058926347477,0.2149245541232466,0.26742713581196065,True,True
81929,2,mean_curve,0.052338854338388974,0.2485817652085521,0.26742713581196065,True,True
90709,2,mean_curve,0.03588666537120197,0.2847758578739309,0.26742713581196065,True,True
47837,2,G_access_power_1D,0.012535207657116805,0.2643349040834956,0.25879099999849076,True,True
61417,2,G_access_power_1D,0.024710586503544275,0.2149245541232466,0.20990239079721495,True,True
81929,2,G_access_power_1D,0.017508491901330633,0.2485817652085521,0.23817745224226392,True,True
90709,2,G_access_power_1D,0.04999097525843532,0.2847758578739309,0.2920960111972504,True,True
47837,2,gnn_v1_ensemble,0.011199485361090574,0.2643349040834956,0.26429303487141925,True,True
61417,2,gnn_v1_ensemble,0.17130755237050982,0.2149245541232466,0.26664261023203534,True,True
81929,2,gnn_v1_ensemble,0.04732123225745806,0.2485817652085521,0.2661978006362915,True,True
90709,2,gnn_v1_ensemble,0.04121601720986875,0.2847758578739309,0.26580289999643963,True,True
52691,3,gnn_v2_init_11,0.03222549082913127,0.2757138322879656,0.26533782482147217,True,True
74167,3,gnn_v2_init_11,0.0568066291047923,0.2448765184284501,0.2653059661388397,True,True
153133,3,gnn_v2_init_11,0.05336049543504544,0.2478319171685908,0.26528099179267883,True,True
161123,3,gnn_v2_init_11,0.05246601281012288,0.2473262503070457,0.2653030455112457,True,True
52691,3,gnn_v2_init_29,0.02185318697621176,0.2757138322879656,0.26911571621894836,True,True
74167,3,gnn_v2_init_29,0.06847401710535564,0.2448765184284501,0.26902881264686584,True,True
153133,3,gnn_v2_init_29,0.06530763078694066,0.2478319171685908,0.2691701352596283,True,True
161123,3,gnn_v2_init_29,0.06438526999646642,0.2473262503070457,0.2691660523414612,True,True
52691,3,gnn_v2_init_47,0.032148344369714636,0.2757138322879656,0.26527875661849976,True,True
