fold,stage,weight_decay,initialization,epoch,train_nrmse,validation_nrmse
3,inner,1e-05,11,90,0.017105842723583033,0.10255465776467886
3,inner,1e-05,11,100,0.00816973494568831,0.10983809315950688
3,inner,1e-05,11,110,0.010733362872781196,0.11451838270891267
3,inner,0.0001,11,10,0.06585013238766411,0.0757302634287626
3,inner,0.0001,11,20,0.06581072144206325,0.07649909554091254
3,inner,0.0001,11,30,0.06499403394744019,0.07677843440790724
3,inner,0.0001,11,40,0.059597994996910375,0.0790963657922252
3,inner,0.0001,11,50,0.047200968590349446,0.08308943308899396
3,inner,0.0001,11,60,0.036724064743798066,0.09483520618332161
3,inner,0.0001,11,70,0.032091609897027314,0.09147179713095374
3,inner,0.0001,11,80,0.022614348679363558,0.09772438081034399
3,inner,0.0001,11,90,0.019177155883758096,0.10190512466499306
3,inner,0.0001,11,100,0.014483605773245289,0.10370774187803941
3,inner,0.0001,11,110,0.009389023545350986,0.10700905752867981
3,refit,0.0001,11,10,0.06880180877974756,
3,refit,0.0001,29,10,0.068418835832129,
3,refit,0.0001,47,10,0.0685977523110787,
4,inner,1e-05,11,10,0.06386374343105013,0.1004016240207884
4,inner,1e-05,11,20,0.06420733193609153,0.09850744685065821
4,inner,1e-05,11,30,0.06326469886506984,0.09890706680067018
4,inner,1e-05,11,40,0.05735967966368028,0.0986599842310929
4,inner,1e-05,11,50,0.046329955912474546,0.10288642304842774
4,inner,1e-05,11,60,0.03785129128280363,0.10225483262958805
4,inner,1e-05,11,70,0.03276462830410027,0.11996843302875027
4,inner,1e-05,11,80,0.020696776920114335,0.10790927919234886
4,inner,1e-05,11,90,0.015015365144774117,0.10438707162189328
4,inner,1e-05,11,100,0.01649354276495986,0.11106543657595222
4,inner,1e-05,11,110,0.008938795423754772,0.10444180200446065
4,inner,1e-05,11,120,0.009425341614780128,0.10303271796734301
4,inner,0.0001,11,10,0.0638637578927109,0.10040161947433016
4,inner,0.0001,11,20,0.06420734447074831,0.0985074088069208
4,inner,0.0001,11,30,0.06326470982447953,0.09890698316103103
4,inner,0.0001,11,40,0.05735986478469082,0.09865953470166433
4,inner,0.0001,11,50,0.046329801885299,0.10288943208217037
4,inner,0.0001,11,60,0.03782935767418554,0.10227514209716548
4,inner,0.0001,11,70,0.03271159865209163,0.11990546727717177
4,inner,0.0001,11,80,0.02062558477985801,0.1079320835005988
4,inner,0.0001,11,90,0.015174456366032346,0.10399308205180036
4,inner,0.0001,11,100,0.016877801546328626,0.1108329037008551
4,inner,0.0001,11,110,0.008551752704703526,0.10408444237265743
4,inner,0.0001,11,120,0.010151087181175392,0.10220041335859999
4,refit,0.0001,11,10,0.0728061100375153,
4,refit,0.0001,11,20,0.07268058703429556,
4,refit,0.0001,29,10,0.07287643652212245,
4,refit,0.0001,29,20,0.07249953911224286,
4,refit,0.0001,47,10,0.07269581419509559,
4,refit,0.0001,47,20,0.07236385993621663,
