seed,network_file,inlet_pore_count,inlet_pore_fraction,inlet_total_pore_volume_m3,inlet_mean_pore_volume_m3,inlet_pore_volume_fraction,inlet_to_internal_throat_count,inlet_to_internal_unique_second_layer_pores,inlet_to_internal_throats_per_inlet_pore,inlet_internal_conductance_m3_s,inlet_internal_conductance_per_inlet_pore_m3_s,inlet_internal_conductance_cv,interior_depth_dp,interior_plane_z_m,effective_inlet_to_interior_conductance_m3_s,effective_inlet_to_interior_active_pores,effective_inlet_to_interior_spanning,effective_inlet_to_outlet_conductance_m3_s,effective_inlet_to_outlet_active_pores,effective_inlet_to_outlet_spanning,inlet_radial_coverage,inlet_polar_cell_coverage,inlet_radial_mean_over_R,inlet_radial_std_over_R,inlet_angular_resultant,inlet_centroid_offset_over_R,inlet_mean_pair_distance_over_D,inlet_min_pair_distance_over_D
90709,co2_pore_networks_power22/seed_90709/pore_network.npz,20,0.0021177467174925877,2.9163329463362422e-08,1.4581664731681211e-09,0.009016516611851155,46,41,2.3,1.14679371130606e-06,5.7339685565303004e-08,1.9558522243541192,3.0,0.004928687200131708,4.932915229480505e-08,9444,True,7.494615162942717e-09,9444,True,0.4,0.2,0.8483626503605493,0.04950536015993818,0.09054921090598096,0.08777949131162002,0.5562485242437398,0.025025562178792014
98251,co2_pore_networks_power22/seed_98251/pore_network.npz,20,0.002134699541039599,3.4361387600995836e-08,1.718069380049792e-09,0.010890291813805294,47,47,2.35,1.5883685029677838e-06,7.94184251483892e-08,3.3436460972773805,3.0,0.004837034744673711,5.0261609762068126e-08,9369,True,8.139982283661613e-09,9369,True,0.4,0.21666666666666667,0.8476115284050497,0.04724335348710154,0.10779207414304595,0.09140532401982497,0.5629260128621747,0.0908366838900847
105019,co2_pore_networks_power22/seed_105019/pore_network.npz,12,0.001279863481228669,2.043336917475e-08,1.7027807645625e-09,0.006345916385029814,29,29,2.4166666666666665,7.621764174912511e-07,6.351470145760427e-08,2.880534165880349,3.0,0.004897881232564417,3.1179151979128975e-08,9376,True,7.079902569333809e-09,9376,True,0.4,0.18333333333333332,0.8630401728486062,0.05498259810981746,0.26893518952519,0.2189634568262497,0.5662174055971604,0.08744813217923321
113117,co2_pore_networks_power22/seed_113117/pore_network.npz,22,0.0023436667731969747,3.7647679486323623e-08,1.7112581584692556e-09,0.01159497580969856,53,50,2.409090909090909,9.850791552787102e-07,4.4776325239941377e-08,2.033334804671146,3.0,0.004986237594250245,4.3083061143528005e-08,9387,True,7.957726487380421e-09,9387,True,0.4,0.21666666666666667,0.8670882896366049,0.06666338971615794,0.12864396948556409,0.09723801278518691,0.5723028645313839,0.04099640979625699
121021,co2_pore_networks_power22/seed_121021/pore_network.npz,17,0.0018139137857447717,2.3493194429066005e-08,1.3819526134744708e-09,0.007295171282547504,43,42,2.5294117647058822,1.2555712221361668e-06,7.385713071389216e-08,4.044690266718004,3.0,0.005004901213683555,4.381123423907334e-08,9372,True,7.471001792085692e-09,9372,True,0.4,0.2,0.8430126198777017,0.03835454730862532,0.07439478461016737,0.05773773680375031,0.5607621092976447,0.04732860504603318
129121,co2_pore_networks_power22/seed_129121/pore_network.npz,15,0.0015996587394689133,2.5613118413823945e-08,1.707541227588263e-09,0.008113860532750747,37,35,2.466666666666667,7.265103931559064e-07,4.843402621039376e-08,2.0748063796447895,3.0,0.004815879842626479,3.605976533317714e-08,9377,True,7.375193784809745e-09,9377,True,0.4,0.16666666666666666,0.8644112741940106,0.053072306659973076,0.2135740291783925,0.18425788742256657,0.5618886299959538,0.06480796142998665
137077,co2_pore_networks_power22/seed_137077/pore_network.npz,22,0.0023572270438229938,3.851461954203411e-08,1.7506645246379141e-09,0.012291452553512246,51,51,2.3181818181818183,4.935649587472847e-07,2.2434770852149306e-08,2.6767946479318954,3.0,0.004880462060155541,3.693146661151931e-08,9333,True,6.940670272221177e-09,9333,True,0.2,0.18333333333333332,0.8621121041677354,0.037889664100752195,0.10475998423824384,0.09920133174321388,0.5691731053471095,0.07717072536394334
145093,co2_pore_networks_power22/seed_145093/pore_network.npz,21,0.0022366599211843647,3.7635612321170914e-08,1.792172015293853e-09,0.011772121539934574,49,45,2.3333333333333335,5.613734455233379e-07,2.673206883444466e-08,2.15452329011065,3.0,0.004805786597585156,4.4052703580679273e-08,9389,True,7.640071439229964e-09,9389,True,0.4,0.2,0.8704390917086274,0.05225448489557338,0.1367005794303502,0.13559439824741637,0.5687717703045527,0.03418051013336873
153133,co2_pore_networks_power22/seed_153133/pore_network.npz,18,0.0019177498401875134,3.078711499202615e-08,1.7103952773347859e-09,0.009556323766403804,42,36,2.3333333333333335,3.859195085951426e-07,2.1439972699730146e-08,1.6481177849927768,3.0,0.004844983363875625,3.976645460363877e-08,9386,True,6.8133533829478666e-09,9386,True,0.4,0.16666666666666666,0.8526844591393236,0.03808146327894584,0.17214622371074853,0.1437582128008368,0.5520115799708608,0.011673075122764985
161123,co2_pore_networks_power22/seed_161123/pore_network.npz,18,0.0019241047568145377,2.732202684511235e-08,1.5178903802840193e-09,0.008538089769496073,46,43,2.5555555555555554,8.4345681816245e-07,4.685871212013611e-08,1.5143613191975285,3.0,0.004849663295031425,3.9876189008380335e-08,9355,True,7.565426232210888e-09,9355,True,0.4,0.2,0.87325118184722,0.05676239284977607,0.23601976293976354,0.19859434205201326,0.5625119870011449,0.02311295439140765
