time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0001113771475999,0.0007781539745656619,2.522345447595082e-09,1.5745306274863869e-12,2.5239199782225684e-09,2.523919978229093e-09,-6.524800671818282e-21,2.5851852388744926e-12,2.4833225668061886e-10,0.0777594809134416,0.0
0.0001184546037091,0.00082722989406385,2.6814224762794e-09,1.7797703187323362e-12,2.6832022465981324e-09,2.6832022466044967e-09,-6.364327632982995e-21,2.3719149911404705e-12,2.807023070294684e-10,0.0826597644139908,0.0
0.0001259817964658,0.000879375897958387,2.850451023113047e-09,2.011669689413424e-12,2.8524626928024603e-09,2.8524626928084532e-09,-5.9929235379466855e-21,2.100964739365697e-12,3.1727707606777205e-10,0.08786610292608035,0.0
0.0001339873043662,0.0009347807847671962,3.030043068626564e-09,2.273678098030703e-12,3.0323167467245947e-09,3.0323167467303787e-09,-5.784060433277046e-21,1.9074723771894076e-12,3.5860059067294547e-10,0.09339725228001221,0.0
0.0001425015219259,0.0009936445410759045,3.220846858887341e-09,2.5696800021381496e-12,3.223416538889479e-09,3.223416538895066e-09,-5.5871914474894254e-21,1.7333135138050208e-12,4.052855007950878e-10,0.09927307106069591,0.0
0.0001515567750783,0.001056178945917528,3.423548864564788e-09,2.904057852259211e-12,3.4264529224170475e-09,3.426452922422383e-09,-5.335728541273305e-21,1.5572163581635117e-12,4.580229989770943e-10,0.10551457897486537,0.0
0.0001611874439074,0.0011226082033392551,3.63887583136251e-09,3.2817546465912615e-12,3.6421575860091013e-09,3.6421575860141363e-09,-5.0350483886102795e-21,1.3824356222105368e-12,5.17592686374823e-10,0.11214401778143444,0.0
0.0001714300931778,0.0011931696007520332,3.867596914024088e-09,3.708343435235794e-12,3.871305257459324e-09,3.8713052574640155e-09,-4.691768434400773e-21,1.2119345084851873e-12,5.848735348444818e-10,0.11918491450590463,0.0
0.0001823236111606,0.0012681141846397994,4.110525866609247e-09,4.190115756719119e-12,4.1147159823659664e-09,4.114715982370246e-09,-4.279832489349365e-21,1.040128287757058e-12,6.608578349982423e-10,0.1266621459956596,0.0
0.0001939093572805,0.0013477074779354769,4.368523367830661e-09,4.73415902853099e-12,4.373257526859192e-09,4.373257526862987e-09,-3.795104650393291e-21,8.677981177832865e-13,7.466634021066011e-10,0.13460200740588554,0.0
0.000206231319145,0.0014322302176760784,4.6424994121244245e-09,5.348449626382436e-12,4.647847861750807e-09,4.6478478617540686e-09,-3.261573155296588e-21,7.017383641438064e-13,8.435482563984906e-10,0.1430322822621026,0.0
0.0002193362795524,0.0015219790994957783,4.9334157228854476e-09,6.04197832057721e-12,4.939457701206025e-09,4.93945770120872e-09,-2.694954435697764e-21,5.45597229233948e-13,9.529304066695815e-10,0.1519823126018225,0.0
0.0002332739941117,0.0016172675473652164,5.242288247537183e-09,6.8248829822907546e-12,5.249113130519474e-09,5.249113130521539e-09,-2.06546998954491e-21,3.93489326327339e-13,1.0764087804878655e-09,0.16148307113155091,0.0
0.0002480973801501,0.0017184265202052414,5.570189772127932e-09,7.708579276940265e-12,5.577898351404872e-09,5.577898351406194e-09,-1.3218346188597382e-21,2.3697717950103954e-13,1.215783836926716e-09,0.17156723662854237,0.0
0.0002638627176241,0.0018258053363297258,5.918252593719147e-09,8.7059082446048e-12,5.926958501963752e-09,5.926958501964208e-09,-4.5577651751671825e-22,7.689888791454721e-14,1.3730808426943775e-09,0.18226927045923405,0.0
0.0002806298627977,0.0019397724923377803,6.287671174781755e-09,9.831325214242106e-12,6.297502499995997e-09,6.297502499995677e-09,3.201188970580217e-22,5.083267486725494e-14,1.5505796673586262e-09,0.193625491615595,1.63e-322
0.0002984624754985,0.002060716508155179,6.6797048823537795e-09,1.1101093532388902e-11,6.6908059758861685e-09,6.690805975885525e-09,6.435465165662555e-22,9.618370625087818e-14,1.7508453379034654e-09,0.2056741536547056,7.66e-322
0.0003174282608152,0.0021890467670038784,7.095680710757649e-09,1.2533513697672758e-11,7.108214224455321e-09,7.108214224454664e-09,6.57608586979657e-22,9.25138953630857e-14,1.9767641774293995e-09,0.218455520077114,1.803e-321
0.0003375992261536,0.002325194377952226,7.536996077511626e-09,1.4149160818321131e-11,7.551145238329947e-09,7.551145238329708e-09,2.3988237764037803e-22,3.176768159917312e-14,2.231581256542472e-09,0.2320119411016801,3.48e-321
0.0003590519546268,0.0024696130213851357,8.005121563877205e-09,1.597116341569407e-11,8.0210927272929e-09,8.021092727293669e-09,-7.692779696743157e-22,9.590687900373787e-14,2.518944365766895e-09,0.24638792742681365,6.06e-321
0.0003818678958189,0.00262277980477418,8.501603688793135e-09,1.802549775321248e-11,8.519629186546348e-09,8.519629186548808e-09,-2.4600351417327043e-21,2.887490861241618e-13,2.8429504365963068e-09,0.2616302239050479,8.1965e-320
0.0004061336750239,0.0027851960693323526,9.028067523604707e-09,2.0341343192029637e-11,9.048408866796736e-09,9.048408866801678e-09,-4.941576979391787e-21,5.461266231593794e-13,3.208201587577779e-09,0.2777878765360813,3.11795e-319
0.000431941422137,0.002957388174183086,9.58621923390663e-09,2.2951473515023012e-11,9.609170707421653e-09,9.60917070743009e-09,-8.437242248040882e-21,8.78040624412777e-13,3.6198668432573237e-09,0.29491229561938254,7.38747e-319
0.0004593891214431,0.0031399082773310135,1.017784861101895e-08,2.589266433054753e-11,1.0203741275349498e-08,1.0203741275362621e-08,-1.3122393237541231e-20,1.286037433076221e-12,4.083746389197644e-09,0.31305731709783047,1.4703e-318
0.0004885809836348,0.003333335074708546,1.0804831467567925e-08,2.920613873682372e-11,1.0834037606304749e-08,1.0834037606323357e-08,-1.860825505999291e-20,1.7175734233313054e-12,4.606341861397281e-09,0.33227925773642936,1.7785395e-317
0.0005196278414683,0.003538274396112546,1.1469131569183592e-08,3.2938141590634536e-11,1.1502069710774226e-08,1.1502069710798987e-08,-2.476082445616233e-20,2.1527277332457004e-12,5.194946918959658e-09,0.3526369529967774,5.7497137e-317
0.000552647570563,0.003755359807695124,1.2172802587442223e-08,3.714049410010381e-11,1.2209943081542326e-08,1.2209943081573483e-08,-3.115658495242234e-20,2.551738754576342e-12,5.857734713510189e-09,0.3741917938500156,1.3439336e-316
0.0005877655369391,0.003985253111867498,1.2917989720278551e-08,4.187121210739337e-11,1.2959860932385944e-08,1.2959860932423492e-08,-3.754738236500703e-20,2.8972056537327117e-12,6.603855403677593e-09,0.3970077504609679,1.439103524e-315
0.0006251150729957,0.004228644690738343,1.3706930805223243e-08,4.7195250655080194e-11,1.3754126055878323e-08,1.3754126055921369e-08,-4.304647907725956e-20,3.129713869295779e-12,7.443553586819542e-09,0.4211513768384867,4.95577521e-315
0.0006648379837331,0.004486253751053874,1.4541957113363364e-08,5.318527447007609e-11,1.459514238783344e-08,1.4595142387880186e-08,-4.67456307765967e-20,3.202821153386917e-12,8.388289818418469e-09,0.446691802527001,2.873413703e-314
