time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0001113771475999,0.00016152005848671353,5.235588296604856e-10,3.279581757732042e-13,5.238867878362589e-10,5.238867878373571e-10,-1.0981856607407134e-21,2.09622705942653e-12,5.1724998208917337e-11,0.016138408052590744,0.0
0.0001184546037091,0.00017176245069208177,5.567590087974155e-10,3.7090552077543647e-13,5.57129914318191e-10,5.571299143194071e-10,-1.216162295606089e-21,2.182906112826053e-12,5.849857943792881e-11,0.017160866754783725,0.0
0.0001259817964658,0.00018265289355321604,5.920598102723535e-10,4.194762661989682e-13,5.924792865385524e-10,5.92479286539897e-10,-1.3445820857049465e-21,2.269416190998609e-12,6.615907368880342e-11,0.018247897411153482,0.0
0.0001339873043662,0.00019423221002075195,6.295935595466591e-10,4.743943620082811e-13,6.300679539086674e-10,6.300679539101471e-10,-1.4797227182807974e-21,2.3485129010256217e-12,7.482066110212734e-11,0.019403552347819982,0.0
0.0001425015219259,0.00020654375640704654,6.69500793841336e-10,5.364957712846024e-13,6.700372896126206e-10,6.700372896142444e-10,-1.6238589400181625e-21,2.423535175113992e-12,8.461518833419223e-11,0.020632132536253945,0.0
0.0001515567750783,0.0002196335951447985,7.119308221250717e-10,6.067187076024049e-13,7.125375408326741e-10,7.125375408344508e-10,-1.7766805581873343e-21,2.4934553709362013e-12,9.569062881284372e-11,0.02193820534332143,0.0
0.0001611874439074,0.00023355065288910426,7.570422375937919e-10,6.861266828416555e-13,7.577283642766336e-10,7.577283642783721e-10,-1.7384234548567568e-21,2.294256803376176e-12,1.0821471779870391e-10,0.023326619391818695,4.236812124044375e-274
0.0001714300931778,0.00024834689772617555,8.050034920834582e-10,7.759198083254866e-13,8.057794118917837e-10,8.057794118931943e-10,-1.4105497395560504e-21,1.7505408040172392e-12,1.2237673478112592e-10,0.02480252177872433,1.478777626933253e-273
0.0001823236111606,0.0002640775254119424,8.559934997527682e-10,8.774497241635755e-13,8.568709494769318e-10,8.568709494779238e-10,-9.919963496042184e-22,1.157696325460239e-12,1.3838985810849917e-10,0.026371376058408065,2.737902000411831e-273
0.0001939093572805,0.00028080114910815715,9.102022521028226e-10,9.92247711901852e-13,9.111944998147244e-10,9.111944998151872e-10,-4.62807552723419e-22,5.079130227600011e-13,1.5649559886690602e-10,0.02803898011299442,4.23845647328922e-273
0.000206231319145,0.000298580007448087,9.678314924111955e-10,1.1220442689190887e-12,9.689535366801146e-10,9.689535366799134e-10,2.0121168400352398e-22,2.0765875388919807e-13,1.7696688812021317e-10,0.02981148612422989,6.024738769665398e-273
0.0002193362795524,0.0003174801820932944,1.0290954209308693e-09,1.268794910429371e-12,1.0303642158412987e-09,1.0303642158402695e-09,1.0292194771691047e-21,9.9888899609032e-13,2.0011214635742834e-10,0.031695421261999285,8.14923977048358e-273
0.0002332739941117,0.0003375718274672277,1.094221439559666e-09,1.4347092896982059e-12,1.0956561488493644e-09,1.095656148847308e-09,2.0563710028068268e-21,1.876839741160021e-12,2.2627987628299317e-10,0.03369770945349701,1.0674190402131614e-272
0.0002480973801501,0.00035892941323244817,1.163450937817507e-09,1.622284058371934e-12,1.1650732218758788e-09,1.1650732218725542e-09,3.3246456770037565e-21,2.853593760957582e-12,2.558638454912991e-10,0.035825694272357454,1.3673406560523704e-272
0.0002638627176241,0.00038163198008456023,1.2370401219890718e-09,1.8343399414285336e-12,1.2388744619305003e-09,1.2388744619256143e-09,4.885949083197596e-21,3.943861330052741e-12,2.8930893386402565e-10,0.03808716298551563,1.723449042980258e-272
0.0002806298627977,0.0004057634094461313,1.3152608893225491e-09,2.0740635602715857e-12,1.3173349528828208e-09,1.317334952876019e-09,6.801699381870408e-21,5.1632269886908794e-12,3.2711772983643323e-10,0.04049037179417246,2.1461458118325676e-272
