time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.002833096101839324,0.011462244514511558,3.7154225119798694e-08,5.666312841498767e-10,3.772085640394857e-08,3.772085640394858e-08,3.772085640394857e-08,-1.3234889800848443e-23,3.5086397983962603e-16,8.925864038379023e-08
0.003107866187782014,0.012447347077665627,4.034738003384536e-08,6.751109157497772e-10,4.1022490949595137e-08,4.1022490949595137e-08,4.1022490949595137e-08,0.0,0.0,1.0634690341619355e-07
0.003409285069746811,0.013505258513401324,4.377654084003572e-08,8.036975972611253e-10,4.458023843729685e-08,4.458023843729685e-08,4.458023843729685e-08,0.0,0.0,1.2660253116605592e-07
0.0037399373024787977,0.014639244710648043,4.7452293734846866e-08,9.55935747245289e-10,4.840822948209215e-08,4.8408229482092166e-08,4.840822948209215e-08,-1.3234889800848443e-23,2.7340164972867836e-16,1.5058385846343074e-07
0.004102658105827195,0.015852332408231445,5.1384449723057585e-08,1.1359464192814069e-09,5.2520396142338993e-08,5.252039614233901e-08,5.2520396142338993e-08,-1.3234889800848443e-23,2.519952394300243e-16,1.7894005461772977e-07
0.004500557675700498,0.01714722522899351,5.5581772447040234e-08,1.3485091376696833e-09,5.6930281584709915e-08,5.693028158470993e-08,5.6930281584709915e-08,-1.3234889800848443e-23,2.32475396791345e-16,2.1242401459372287e-07
0.004937047852839003,0.018526210518466788,6.005167620952896e-08,1.5991525738619186e-09,6.165082878339087e-08,6.165082878339089e-08,6.165082878339087e-08,-1.3234889800848443e-23,2.1467496969666049e-16,2.519066428238343e-07
0.0054158713780794706,0.019991057846547804,6.479989697246536e-08,1.894254422735205e-09,6.669415139520057e-08,6.669415139520059e-08,6.669415139520057e-08,-2.6469779601696886e-23,3.9688307067359565e-16,2.983925862265023e-07
0.0059411339849650335,0.021542910538488405,6.983014076076791e-08,2.241150760148105e-09,7.207129152091602e-08,7.207129152091603e-08,7.207129152091602e-08,-1.3234889800848443e-23,1.836360847926182e-16,3.5303746076435437e-07
0.006517339604882427,0.023182171998765176,7.514371518750648e-08,2.6482551811400895e-09,7.779197036864656e-08,7.779197036864658e-08,7.779197036864656e-08,-1.3234889800848443e-23,1.7013182386472444e-16,4.1716661869902853e-07
0.007149428986597577,0.02490839015434991,8.073915488322056e-08,3.125187616225568e-09,8.386434249944613e-08,8.386434249944616e-08,8.386434249944613e-08,-2.6469779601696886e-23,3.156261506715049e-16,4.922954403886549e-07
0.007842822061337682,0.026720143330767963,8.661185156953926e-08,3.6829129503995747e-09,9.029476451993883e-08,9.029476451993887e-08,9.029476451993883e-08,-3.970466940254533e-23,4.3972283015121823e-16,5.801511702583092e-07
0.008603464416684501,0.028614933192642633,9.275370703193807e-08,4.33388876935632e-09,9.708759580129439e-08,9.708759580129439e-08,9.708759580129439e-08,0.0,0.0,6.82696190535436e-07
0.009437878277775381,0.03058908853771425,9.915282127342748e-08,5.0922227633882186e-09,1.042450440368157e-07,1.0424504403681571e-07,1.042450440368157e-07,-1.3234889800848443e-23,1.2695941493558525e-16,8.021528163121956e-07
0.010353218432956626,0.03263768711399181,1.057932390892185e-07,5.973839276644601e-09,1.117670783658631e-07,1.1176707836586315e-07,1.117670783658631e-07,-5.293955920339377e-23,4.73659685637475e-16,9.4102953123136e-07
0.01135733358343105,0.034754503043622334,1.1265477964413312e-07,6.996654583533589e-09,1.196514342276667e-07,1.1965143422766676e-07,1.196514342276667e-07,-5.293955920339377e-23,4.424481791222245e-16,1.1021485979161642e-06
0.012458833642950081,0.0369319891833874,1.1971297929513927e-07,8.180759759463659e-09,1.2789373905460292e-07,1.2789373905460292e-07,1.2789373905460292e-07,0.0,0.0,1.2886748646991517e-06
0.013667163564620072,0.03916129800620448,1.269391592775708e-07,9.548613380913017e-09,1.3648777265848383e-07,1.3648777265848385e-07,1.3648777265848383e-07,-2.6469779601696886e-23,1.939351715257958e-16,1.5041461207167056e-06
0.014992684327860457,0.04143234975624593,1.3430064662613733e-07,1.1125244298751529e-08,1.4542589092488887e-07,1.454258909248889e-07,1.4542589092488887e-07,-2.6469779601696886e-23,1.820155918134844e-16,1.7525050377935283e-06
0.016446761779946643,0.043733956331192786,1.417611757323277e-07,1.2938464554057688e-08,1.5469964028638538e-07,1.546996402863854e-07,1.5469964028638538e-07,-2.6469779601696886e-23,1.71104338398558e-16,2.0381327100245024e-06
0.018041864093920716,0.04605401262859339,1.492815085829397e-07,1.5019090547530368e-08,1.6430059913047008e-07,1.643005991304701e-07,1.6430059913047008e-07,-2.6469779601696886e-23,1.6110580084176925e-16,2.3658834935047556e-06
0.019791668678535573,0.048379738143788195,1.5682021788625366e-07,1.7401184509097646e-08,1.7422140239535132e-07,1.7422140239535132e-07,1.7422140239535132e-07,0.0,0.0,2.7411230438499715e-06
0.021711179456945052,0.05069797631929687,1.6433465739634392e-07,2.012231630093658e-08,1.844569736972805e-07,1.8445697369728057e-07,1.844569736972805e-07,-7.940933880509066e-23,4.305033158324086e-16,3.1697695567389526e-06
0.023816855519761582,0.052995548811115845,1.7178211024748704e-07,2.3223848450735584e-08,1.9500595869822262e-07,1.950059586982227e-07,1.9500595869822262e-07,-7.940933880509066e-23,4.072149350470817e-16,3.658338667802097e-06
0.026126752255633292,0.0552596676072461,1.7912112481334198e-07,2.6751243026970032e-08,2.0587236784031202e-07,2.058723678403121e-07,2.0587236784031202e-07,-7.940933880509066e-23,3.85721209884202e-16,4.213991793174828e-06
0.0286606761694825,0.057478325396864455,1.8631278006680592e-07,3.075442583535434e-08,2.1706720590216026e-07,2.1706720590216028e-07,2.1706720590216026e-07,-2.6469779601696886e-23,1.2194278491624263e-16,4.8445934995741405e-06
