time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0001939093572805,0.0013552846119301014,4.393084251745476e-09,4.777329447434576e-12,4.397861581192911e-09,4.397861581210796e-09,-1.7885299204621564e-20,4.0668172188578696e-12,7.534721661668403e-10,0.06774475391203179,3.0950977551640363e-198
0.000206231319145,0.0014407925673200848,4.670253821086136e-09,5.400474776250709e-12,4.675654295862387e-09,4.675654295880936e-09,-1.8548698055889093e-20,3.967080729691618e-12,8.517535733643224e-10,0.07201760518027506,1.038737025013026e-197
0.0002193362795524,0.0015316541696746935,4.964776957317966e-09,6.104646666155048e-12,4.970881603984121e-09,4.9708816040032454e-09,-1.9124415762226e-20,3.847288526611529e-12,9.628143501179411e-10,0.07655780643055855,2.2027699493255058e-197
0.0002332739941117,0.0016281992352126051,5.277722742479886e-09,6.900328748021208e-12,5.2846230712279076e-09,5.284623071247504e-09,-1.959673589199378e-20,3.708256128732321e-12,1.0883079566193266e-09,0.0813818052117391,3.955147199652969e-197
0.0002480973801501,0.0017307771984826407,5.610223850402862e-09,7.79935041784384e-12,5.6180232008207065e-09,5.61802320084066e-09,-1.9953250736004134e-20,3.551649756985412e-12,1.2301001048154168e-09,0.08650702438316546,8.029873414401053e-197
0.0002638627176241,0.0018397581945925037,5.963480054697806e-09,8.815055676295654e-12,5.972295110374102e-09,5.9722951103943535e-09,-2.0251862937135777e-20,3.390968222901252e-12,1.390295387492375e-09,0.09195191552414786,3.8912884854394754e-196
0.0002806298627977,0.0019555341640943966,6.3387618101845735e-09,9.962499184032175e-12,6.3487243093686055e-09,6.34872430938907e-09,-2.0464448354561905e-20,3.223395340115371e-12,1.5712681997803334e-09,0.09773601331679228,9.37005653626598e-196
0.0002984624754985,0.002078520035265394,6.737414085192009e-09,1.1258658409137967e-11,6.748672743601147e-09,6.748672743621757e-09,-2.0610032142371238e-20,3.0539385928662787e-12,1.7756961986829502e-09,0.10387999378048804,1.8218070229009897e-195
0.0003174282608152,0.0022091549216822826,7.160860243434226e-09,1.2722695169187694e-11,7.173582938603414e-09,7.173582938624054e-09,-2.06406378250357e-20,2.877312216452149e-12,2.0066015530404816e-09,0.11040573307958669,7.638746718252377e-195
0.0003375992261536,0.002347903401402067,7.610606190407353e-09,1.4376206656286417e-11,7.62498239706364e-09,7.624982397084168e-09,-2.052896844234104e-20,2.6923299455997987e-12,2.267390534766467e-09,0.1173363703492204,2.2528022379485695e-194
0.0003590519546268,0.002495256830593932,8.088244631458922e-09,1.6243524027207152e-11,8.10448815548613e-09,8.104488155506427e-09,-2.0297357870826193e-20,2.5044589468658266e-12,2.56190061196957e-09,0.12469637207519887,4.8687500921203243e-194
0.0003818678958189,0.002651734617833374,8.595459202345693e-09,1.835215622885754e-11,8.613811358574551e-09,8.613811358593631e-09,-1.9079748009148136e-20,2.2150180930202388e-12,2.894470448341197e-09,0.13251159418720598,7.703810451340832e-183
0.0004061336750239,0.0028178857592130796,9.134029445215364e-09,2.0732993250919528e-11,9.154762438466283e-09,9.154762438483245e-09,-1.6962165641012386e-20,1.8528242272797487e-12,3.269971959811497e-09,0.14080935740692463,2.2365900918063e-182
0.000431941422137,0.0029942901920926553,9.705835196715568e-09,2.3420843175920634e-11,9.72925603989149e-09,9.729256039905388e-09,-1.389828865211597e-20,1.4285047690297114e-12,3.693895017160934e-09,0.149618512913634,4.466387656647169e-182
