time_s,reference_loading_mol_kg,homogeneous_loading_mol_kg,residual_mol_kg
0.0010233089996959,1.2478087176229508e-08,6.778167264988739e-09,5.699919911240769e-09
0.0010883351265767,1.4077714848897864e-08,7.636499990283073e-09,6.441214858614791e-09
0.0011574933359255,1.5879946070504342e-08,8.601660145797087e-09,7.2782859247072554e-09
0.0012310462007473,1.790996920467342e-08,9.686612110759102e-09,8.22335709391432e-09
0.0013092729792371,2.0196014731220057e-08,1.0905836782215098e-08,9.290177949004958e-09
0.0013924706750403,2.2769706115779372e-08,1.227549835811004e-08,1.0494207757669333e-08
0.0014809551648862,2.5666448130026953e-08,1.3813633298371147e-08,1.1852814831655806e-08
0.0015750623978776,2.892585613469577e-08,1.554035269492307e-08,1.3385503439772699e-08
0.0016751496709886,3.2592229985244017e-08,1.7478068995278336e-08,1.511416098996568e-08
0.0017815969856142,3.6715076533124866e-08,1.965174655772632e-08,1.7063329975398545e-08
0.0018948084903223,4.1349684939713024e-08,2.208917148954875e-08,1.9260513450164276e-08
0.002015214015284,4.655775886422655e-08,2.4821257054266857e-08,2.1736501809959696e-08
0.0021432707042104,5.2408110825091324e-08,2.7882371039748328e-08,2.4525739785342995e-08
0.0022794647499905,5.8977422545236936e-08,3.131070106349332e-08,2.7666721481743615e-08
0.0024243132406195,6.635107718736346e-08,3.514865361781107e-08,3.120242356955239e-08
0.0025783661224274,7.46240680964225e-08,3.944329212666672e-08,3.518077596975578e-08
0.0027422082880605,8.390198914476659e-08,4.4246816216474576e-08,3.9655172928292016e-08
0.002916461797143,9.43021122116274e-08,4.96170908490264e-08,4.4685021362601e-08
0.0031017882380521,1.0595455754271892e-07,5.561821948933778e-08,5.0336338053381145e-08
0.0032988912397697,1.1900355984009186e-07,6.232118856784618e-08,5.668237127224568e-08
0.0035085191433519,1.3360884010949237e-07,6.980454641489937e-08,6.3804293694593e-08
0.003731467843155,1.4994708168510337e-07,7.815518015773394e-08,7.179190152736943e-08
0.0039685838086087,1.682135218141875e-07,8.746914059636108e-08,8.074438121782642e-08
0.0042207672980064,1.8862366005553317e-07,9.785255473048483e-08,9.077110532504833e-08
0.0044889757765166,2.1141508618821221e-07,1.0942262823541869e-07,1.0199245795279353e-07
0.0047742275513911,2.368494338800121e-07,1.2230872310376939e-07,1.1454071077624272e-07
0.0050776056381728,2.65214463361873e-07,1.3665356411334485e-07,1.2856089924852814e-07
0.0054002618725812,2.968262685066675e-07,1.5261453167774032e-07,1.4421173682892716e-07
0.0057434212836877,3.320316215637003e-07,1.7036508218320797e-07,1.6166653938049234e-07
0.0061083867449839,3.7121045229935473e-07,1.9009632060862296e-07,1.8111413169073177e-07
0.006496543921002,4.1477845830669033e-07,2.1201868012445563e-07,2.027597781822347e-07
0.0069093665282681,4.631898487761657e-07,2.363637738080545e-07,2.268260749681112e-07
0.0073484219305622,5.169402244565119e-07,2.633863888920551e-07,2.535538355644568e-07
0.007815377089729,5.765695757206378e-07,2.9336667624344547e-07,2.8320289947719235e-07
0.008312004894633,6.426654175858352e-07,3.266125008766057e-07,3.1605291670922955e-07
0.008840190892286,7.158660502833112e-07,3.6346204493107143e-07,3.524040053522398e-07
0.0094019404467045,7.968639498591306e-07,4.042866306004288e-07,3.925773192587018e-07
0.0099993863526764,8.864092776446716e-07,4.494937382764774e-07,4.3691553936819415e-07
0.0106347969333434,9.853135105676504e-07,4.995303143944062e-07,4.857831961732442e-07
0.0113105846523451,1.0944531714730109e-06,5.548862837464784e-07,5.395668877265325e-07
0.0120293152732203,1.2147736701167391e-06,6.160984315042724e-07,5.986752386124667e-07
0.0127937176008429,1.3472932868497286e-06,6.837546002924054e-07,6.635386865573232e-07
0.0136066938418765,1.4931073072668373e-06,7.584982302726862e-07,7.34609076994151e-07
0.0144713306235837,1.6533922776095158e-06,8.410332344462513e-07,8.123590431632645e-07
0.0153909107128253,1.8294104291860343e-06,9.321292837557629e-07,8.972811454302714e-07
