time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0016257556664437951,0.2647302817838286,8.581084161109653e-07,1.0323862226504574e-08,8.684322783374698e-07,2.42280284336887e-08,2.4228028433688432e-08,-2.6800651846718097e-22,1.1061837705891167e-14,1.6262672598988164e-06
0.0017834308769319094,0.2650983223350158,8.593013989926958e-07,1.1332601800736305e-08,8.706340007934321e-07,2.642975088965082e-08,2.6429750889650774e-08,-4.632211430296955e-23,1.7526504315675576e-15,1.7851690456206089e-06
0.001956398343517065,0.26549538400505696,8.605884522095832e-07,1.2440580227306925e-08,8.730290324368901e-07,2.882478253310878e-08,2.8824782533108718e-08,-6.28657265540301e-23,2.18096100054948e-15,1.959703439849548e-06
0.0021461411978584036,0.26592337878626854,8.619757733778851e-07,1.3657679257931673e-08,8.756334526358167e-07,3.1429202732035573e-08,3.142920273203539e-08,-1.852884572118782e-22,5.8954233994302034e-15,2.151427066350303e-06
0.0023542864143224177,0.2663842846110861,8.634697738550707e-07,1.4994784159441174e-08,8.784645580145118e-07,3.426030811073051e-08,3.426030811073044e-08,-6.617444900424221e-23,1.9315193777698697e-15,2.3620546276899478e-06
0.0025826187606826775,0.2668801353032552,8.650770461671677e-07,1.6463888478175836e-08,8.815409346453436e-07,3.7336684741562235e-08,3.7336684741562235e-08,0.0,0.0,2.5934754082579435e-06
0.002833096101839324,0.26741300445073823,8.668043117336903e-07,1.8078210130587257e-08,8.848825218642775e-07,4.067827196049621e-08,4.0678271960496126e-08,-8.602678370551488e-23,2.1148091981158356e-15,2.8477715614478265e-06
0.003107866187782014,0.26798499337383447,8.686583818669739e-07,1.9852319881341537e-08,8.885107017483154e-07,4.430645184453409e-08,4.4306451844534036e-08,-5.293955920339377e-23,1.1948498920462463e-15,3.127238348181166e-06
0.003409285069746811,0.2685982132857223,8.70646099946568e-07,2.180228372692414e-08,8.924483836734922e-07,4.82441337697109e-08,4.824413376971083e-08,-7.279189390466644e-23,1.5088237308214942e-15,3.4344065658968204e-06
0.0037399373024787977,0.269254765370198,8.727742768423409e-07,2.394582064428676e-08,8.967200974866277e-07,5.251584758284639e-08,5.2515847582846355e-08,-3.3087224502121107e-23,6.300426637868569e-16,3.7720673979197148e-06
0.004102658105827195,0.26995672090362727,8.750496264808957e-07,2.6302477360416234e-08,9.013521038413119e-07,5.7147853937530575e-08,5.714785393753058e-08,6.617444900424222e-24,1.1579516017623124e-16,4.143299944051788e-06
0.004500557675700498,0.27070610708710535,8.774787199213087e-07,2.8893821852950478e-08,9.063725417742592e-07,6.216829187047795e-08,6.216829187047784e-08,-1.0587911840678754e-22,1.7031048340105141e-15,4.551501701772686e-06
0.004937047852839003,0.2715048839881599,8.800679106129488e-07,3.174365799780124e-08,9.118115686107501e-07,6.760731870696875e-08,6.760731870696871e-08,-3.970466940254533e-23,5.872835983133391e-16,5.000422378624476e-06
0.0054158713780794706,0.2723549294638312,8.828232855244832e-07,3.487826328325495e-08,9.177015488077382e-07,7.349729890395696e-08,7.34972989039568e-08,-1.5881867761018131e-22,2.160877746238247e-15,5.49420133814524e-06
0.0059411339849650335,0.273258027032687,8.857506258316918e-07,3.832665222094697e-08,9.240772780526388e-07,7.987302814885738e-08,7.987302814885742e-08,3.970466940254533e-23,4.97097334641535e-16,6.037409093704811e-06
0.006517339604882427,0.2742158515363064,8.888553604399686e-07,4.2120868429955454e-08,9.309762288699241e-07,8.677197896614296e-08,8.677197896614278e-08,-1.852884572118782e-22,2.135348985000962e-15,6.635093319076062e-06
0.007149428986597577,0.2752299597305422,8.921425354864237e-07,4.629630830453632e-08,9.384388437909601e-07,9.423459388717879e-08,9.423459388717871e-08,-7.940933880509066e-23,8.426771478440551e-16,7.292829834221902e-06
0.007842822061337682,0.27630178065469224,8.956167831220911e-07,5.0892079964993414e-08,9.465088630870844e-07,1.0230461318330315e-07,1.0230461318330308e-07,-6.617444900424221e-23,6.468373902716868e-16,8.016779149061094e-06
0.008603464416684501,0.27743260690289917,8.992822932186577e-07,5.595140126351172e-08,9.552336944821695e-07,1.1102944457838801e-07,1.1102944457838814e-07,1.3234889800848443e-22,1.1920162125556207e-15,8.813749159370388e-06
0.009437878277775381,0.27862359015022053,9.031427988664708e-07,6.152204093167968e-08,9.646648397981506e-07,1.204605898943692e-07,1.204605898943692e-07,0.0,0.0,9.69126463858484e-06
0.010353218432956626,0.2798757364635192,9.072015611750506e-07,6.765680769148556e-08,9.748583688665362e-07,1.3065411896275502e-07,1.3065411896275488e-07,-1.3234889800848443e-22,1.0129714934300123e-15,1.0657644285048387e-05
0.01135733358343105,0.28118989368604475,9.114613283809156e-07,7.441409303996348e-08,9.85875421420879e-07,1.4167117151709764e-07,1.4167117151709772e-07,7.940933880509066e-23,5.605186853099966e-16,1.1722086224210557e-05
0.012458833642950081,0.28256674168199586,9.159243042258774e-07,8.185847292636445e-08,9.977827771522418e-07,1.535785272484604e-07,1.5357852724846042e-07,2.6469779601696886e-23,1.7235338869263858e-16,1.2894762787873125e-05
0.013667163564620072,0.28400678463147433,9.20592122981564e-07,9.006137421773655e-08,1.0106534971993006e-06,1.6644924729551921e-07,1.6644924729551924e-07,2.6469779601696886e-23,1.5902612977697403e-16,1.4186925499236314e-05
0.014992684327860457,0.2855103310204735,9.254657845880854e-07,9.910181361717676e-08,1.0245675982052622e-06,1.8036334830148095e-07,1.8036334830148087e-07,-7.940933880509066e-23,4.402742550130327e-16,1.5611021471058167e-05
0.016446761779946643,0.28707746440097526,9.305455598745223e-07,1.0906721648113608e-07,1.0396127763556583e-06,1.954085264518771e-07,1.954085264518769e-07,-1.852884572118782e-22,9.482107079780311e-16,1.7180822389918942e-05
0.018041864093920716,0.2887080085067527,9.358308774837496e-07,1.2005432298135189e-07,1.0558852004651016e-06,2.116809505613201e-07,2.1168095056132022e-07,1.0587911840678754e-22,5.001825536309477e-16,1.8911567259455248e-05
0.019791668678535573,0.29040148667134935,9.413201923280829e-07,1.321701894306009e-07,1.0734903817586837e-06,2.292861318549024e-07,2.2928613185490236e-07,-2.6469779601696886e-23,1.1544431138315673e-16,2.0820120134282927e-05
0.021711179456945052,0.2921570624958293,9.470107932671072e-07,1.455332950637935e-07,1.0925440883309006e-06,2.4833983842711907e-07,2.4833983842711923e-07,1.5881867761018131e-22,6.395215468290245e-16,2.292514446578144e-05
0.023816855519761582,0.29397345870452407,9.528985400831129e-07,1.6027476412891877e-07,1.1131733042120318e-06,2.689690543082501e-07,2.689690543082504e-07,3.1763735522036263e-22,1.1809438674544925e-15,2.5247295612072104e-05
0.026126752255633292,0.2958488817765978,9.589776191785269e-07,1.7653970986351326e-07,1.1355173290420402e-06,2.9131307913825873e-07,2.9131307913825884e-07,1.0587911840678754e-22,3.6345473646425847e-16,2.7809432548023608e-05
0.0286606761694825,0.29778094625573864,9.652402982300062e-07,1.9448871030255251e-07,1.1597290085325587e-06,3.155247586287773e-07,3.1552475862877734e-07,5.293955920339377e-23,1.6778258363451746e-16,3.063685034201349e-05
0.031440354715915,0.2997665602567423,9.716765550644259e-07,2.142994310401479e-07,1.1859759861045737e-06,3.417717362007923e-07,3.4177173620079236e-07,5.293955920339377e-23,1.5489741718224339e-16,3.37575357816e-05
0.0344896226040576,0.3018018286567951,9.782737638588326e-07,2.3616839937494606e-07,1.2144421632337787e-06,3.702379133299973e-07,3.702379133299973e-07,0.0,0.0,3.720244684592438e-05
0.03783462617131929,0.30388199222782225,9.850164978413522e-07,2.6031293637974116e-07,1.2453294342210934e-06,4.011251843173118e-07,4.0112518431731203e-07,2.117582368135751e-22,5.279106002131811e-16,4.1005817055138036e-05
0.04150404757850477,0.3060013601554974,9.918863105553308e-07,2.8697326159279744e-07,1.2788595721481283e-06,4.346553222443464e-07,4.3465532224434696e-07,5.823351512373315e-22,1.339763075326993e-15,4.520548701207895e-05
0.04552935074866948,0.30815323057546995,9.98861478281955e-07,3.1641478330591595e-07,1.3152762615878708e-06,4.710720116840897e-07,4.7107201168408947e-07,-2.117582368135751e-22,4.495241312608154e-16,4.984326518009076e-05
