seed,network_file,inlet_pore_count,inlet_pore_fraction,inlet_total_pore_volume_m3,inlet_mean_pore_volume_m3,inlet_pore_volume_fraction,inlet_to_internal_throat_count,inlet_to_internal_unique_second_layer_pores,inlet_to_internal_throats_per_inlet_pore,inlet_internal_conductance_m3_s,inlet_internal_conductance_per_inlet_pore_m3_s,inlet_internal_conductance_cv,interior_depth_dp,interior_plane_z_m,effective_inlet_to_interior_conductance_m3_s,effective_inlet_to_interior_active_pores,effective_inlet_to_interior_spanning,effective_inlet_to_outlet_conductance_m3_s,effective_inlet_to_outlet_active_pores,effective_inlet_to_outlet_spanning,inlet_radial_coverage,inlet_polar_cell_coverage,inlet_radial_mean_over_R,inlet_radial_std_over_R,inlet_angular_resultant,inlet_centroid_offset_over_R,inlet_mean_pair_distance_over_D,inlet_min_pair_distance_over_D,depth_dp,status,error,bed_height_m,porosity,network_ready_for_transport,result_directory,solver_success,physical_bounds_ok,cells,fit_weighting,effective_diffusivity_m2_s,effective_over_molecular_diffusivity,fit_normalized_rmse,final_homogeneous_loading_mol_kg,maximum_relative_mass_balance_error,final_reference_loading_mol_kg,final_loading_error_mol_kg,final_loading_relative_error,maximum_absolute_mass_balance_residual_mol,final_relative_mass_balance_error,fit_at_bound,case_qa_pass,tube_area_m2,accessibility_diffusivity_m2_s
90709,co2_pore_networks_power22/seed_90709/pore_network.npz,20,0.0021177467174925,2.9163329463362426e-08,1.4581664731681211e-09,0.0090165166118511,46,41,2.3,1.14679371130606e-06,5.733968556530301e-08,1.9558522243541192,5.0,0.0081286872001317,3.1477186350308175e-08,9444,True,7.494615162942717e-09,9444,True,0.4,0.2,0.8483626503605493,0.0495053601599381,0.0905492109059809,0.08777949131162,0.5562485242437398,0.025025562178792,5.0,succeeded,,0.035797144,0.4493865723618864,True,co2_homogeneous_campaign_100cells/seed_90709,True,True,100,time,8.559966050932071e-07,0.0570664403395471,0.0211722922991341,0.2735504639500155,1.2986875180773102e-07,0.2847758578739309,-0.0112253939239154,-0.0394183481974966,1.4374019264754665e-13,7.066140379105485e-11,False,True,0.00020106192982974675,5.604210471126738e-06
98251,co2_pore_networks_power22/seed_98251/pore_network.npz,20,0.0021346995410395,3.436138760099584e-08,1.7180693800497921e-09,0.0108902918138052,47,47,2.35,1.5883685029677838e-06,7.94184251483892e-08,3.3436460972773805,5.0,0.0080370347446737,3.2353009753445546e-08,9369,True,8.139982283661613e-09,9369,True,0.4,0.2166666666666666,0.8476115284050497,0.0472433534871015,0.1077920741430459,0.0914053240198249,0.5629260128621747,0.0908366838900847,5.0,succeeded,,0.035392063,0.4433997574736297,True,co2_homogeneous_campaign_100cells/seed_98251,True,True,100,time,1.0719761696508922e-06,0.0714650779767261,0.0089161684230228,0.3075855932430359,1.212250854959313e-07,0.3129742683579579,-0.0053886751149219,-0.0172176298811849,1.1382751316525426e-13,5.5793553847253725e-11,False,True,0.00020106192982974675,5.6949605547064275e-06
105019,co2_pore_networks_power22/seed_105019/pore_network.npz,12,0.0012798634812286,2.043336917475e-08,1.7027807645625e-09,0.0063459163850298,29,29,2.4166666666666665,7.621764174912511e-07,6.351470145760428e-08,2.880534165880349,5.0,0.0080978812325644,2.326837496956744e-08,9376,True,7.079902569333809e-09,9376,True,0.4,0.1833333333333333,0.8630401728486062,0.0549825981098174,0.26893518952519,0.2189634568262497,0.5662174055971604,0.0874481321792332,5.0,succeeded,,0.0357243209999999,0.4482825218108296,True,co2_homogeneous_campaign_100cells/seed_105019,True,True,100,time,4.340114878862916e-07,0.0289340991924194,0.024599681403192,0.1954786561821556,1.635447225828103e-07,0.2055532556608265,-0.0100745994786708,-0.0490121134120809,1.4144053715926677e-13,9.730731461171614e-11,False,True,0.00020106192982974675,4.134282891172214e-06
113117,co2_pore_networks_power22/seed_113117/pore_network.npz,22,0.0023436667731969,3.764767948632362e-08,1.7112581584692554e-09,0.0115949758096985,53,50,2.409090909090909,9.850791552787102e-07,4.4776325239941377e-08,2.033334804671146,5.0,0.0081862375942502,2.93769450801817e-08,9387,True,7.957726487380421e-09,9387,True,0.4,0.2166666666666666,0.8670882896366049,0.0666633897161579,0.128643969485564,0.0972380127851869,0.5723028645313839,0.0409964097962569,5.0,succeeded,,0.035860424,0.4503219317936816,True,co2_homogeneous_campaign_100cells/seed_113117,True,True,100,time,8.693662240582694e-07,0.0579577482705512,0.011920635786956,0.275407263597837,1.2930857763102354e-07,0.281763344934014,-0.0063560813361769,-0.0225582264352572,1.3790116848455032e-13,7.083296182117488e-11,False,True,0.00020106192982974675,5.239528474097889e-06
121021,co2_pore_networks_power22/seed_121021/pore_network.npz,17,0.0018139137857447,2.3493194429066005e-08,1.3819526134744706e-09,0.0072951712825475,43,42,2.5294117647058822,1.2555712221361668e-06,7.385713071389217e-08,4.044690266718004,5.0,0.0082049012136835,2.940451025357429e-08,9372,True,7.471001792085692e-09,9372,True,0.4,0.2,0.8430126198777017,0.0383545473086253,0.0743947846101673,0.0577377368037503,0.5607621092976447,0.0473286050460331,5.0,succeeded,,0.035734117,0.4482225253014753,True,co2_homogeneous_campaign_100cells/seed_121021,True,True,100,time,7.588818215129808e-07,0.0505921214341987,0.0207292689401366,0.257888212455963,1.3415952029108497e-07,0.2685458230112915,-0.0106576105553284,-0.0396863761864595,1.1356152957322337e-13,5.8134707043427874e-11,False,True,0.00020106192982974675,5.2259729657357935e-06
129121,co2_pore_networks_power22/seed_129121/pore_network.npz,15,0.0015996587394689,2.5613118413823945e-08,1.707541227588263e-09,0.0081138605327507,37,35,2.466666666666667,7.265103931559064e-07,4.843402621039376e-08,2.074806379644789,5.0,0.0080158798426264,2.5151376385711992e-08,9377,True,7.375193784809745e-09,9377,True,0.4,0.1666666666666666,0.8644112741940106,0.053072306659973,0.2135740291783925,0.1842578874225665,0.5618886299959538,0.0648079614299866,5.0,succeeded,,0.035401105,0.4434945160551283,True,co2_homogeneous_campaign_100cells/seed_129121,True,True,100,time,5.303161922398666e-07,0.0353544128159911,0.019718488235822,0.2169785513286774,1.509558069378074e-07,0.226316329052256,-0.0093377777235785,-0.0412598497098391,1.2308831686582284e-13,7.998014557103273e-11,False,True,0.00020106192982974675,4.428419229234811e-06
137077,co2_pore_networks_power22/seed_137077/pore_network.npz,22,0.0023572270438229,3.8514619542034116e-08,1.750664524637914e-09,0.0122914525535122,51,51,2.3181818181818183,4.935649587472847e-07,2.2434770852149306e-08,2.676794647931896,5.0,0.0080804620601555,2.598631810884013e-08,9333,True,6.940670272221177e-09,9333,True,0.2,0.1833333333333333,0.8621121041677354,0.0378896641007521,0.1047599842382438,0.0992013317432138,0.5691731053471095,0.0771707253639433,5.0,succeeded,,0.035296067,0.4415361243564178,True,co2_homogeneous_campaign_100cells/seed_137077,True,True,100,time,6.832211598050066e-07,0.0455480773203337,0.0136676603800378,0.2463451342607911,1.3898574058137793e-07,0.2521114080676108,-0.0057662738068196,-0.0228719273396517,1.1316661570815909e-13,5.4320517716386045e-11,False,True,0.00020106192982974675,4.561852290135705e-06
145093,co2_pore_networks_power22/seed_145093/pore_network.npz,21,0.0022366599211843,3.7635612321170914e-08,1.792172015293853e-09,0.0117721215399345,49,45,2.333333333333333,5.613734455233379e-07,2.6732068834444664e-08,2.15452329011065,5.0,0.0080057865975851,2.9566098035330644e-08,9389,True,7.640071439229964e-09,9389,True,0.4,0.2,0.8704390917086274,0.0522544848955733,0.1367005794303502,0.1355943982474163,0.5687717703045527,0.0341805101333687,5.0,succeeded,,0.035598278,0.4466685882809759,True,co2_homogeneous_campaign_100cells/seed_145093,True,True,100,time,7.951500928624066e-07,0.0530100061908271,0.0149774794389778,0.2645563011876055,1.3268149870911693e-07,0.2725654795364886,-0.008009178348883,-0.0293844193421085,1.268651262398301e-13,6.444390530988723e-11,False,True,0.00020106192982974675,5.234716378820105e-06
153133,co2_pore_networks_power22/seed_153133/pore_network.npz,18,0.0019177498401875,3.0787114992026154e-08,1.7103952773347859e-09,0.0095563237664038,42,36,2.333333333333333,3.859195085951426e-07,2.1439972699730146e-08,1.6481177849927768,5.0,0.0080449833638756,2.7071586736029673e-08,9386,True,6.813353382947866e-09,9386,True,0.4,0.1666666666666666,0.8526844591393236,0.0380814632789458,0.1721462237107485,0.1437582128008368,0.5520115799708608,0.0116730751227649,5.0,succeeded,,0.035722874,0.4485407451820323,True,co2_homogeneous_campaign_100cells/seed_153133,True,True,100,time,6.448128612002848e-07,0.0429875240800189,0.0199884511237112,0.2380222758586462,1.420731549899474e-07,0.2478319171685908,-0.0098096413099446,-0.03958183200137,1.227674046694701e-13,7.967451765878415e-11,False,True,0.00020106192982974675,4.8098358688298155e-06
161123,co2_pore_networks_power22/seed_161123/pore_network.npz,18,0.0019241047568145,2.7322026845112353e-08,1.5178903802840191e-09,0.008538089769496,46,43,2.555555555555556,8.4345681816245e-07,4.6858712120136116e-08,1.5143613191975285,5.0,0.0080496632950314,2.8235182071593593e-08,9355,True,7.565426232210888e-09,9355,True,0.4,0.2,0.87325118184722,0.056762392849776,0.2360197629397635,0.1985943420520132,0.5625119870011449,0.0231129543914076,5.0,succeeded,,0.035624823,0.4467552194899482,True,co2_homogeneous_campaign_100cells/seed_161123,True,True,100,time,6.449193527532435e-07,0.0429946235168829,0.0175760756406492,0.2383091526308179,1.414770254888669e-07,0.2473262503070457,-0.0090170976762277,-0.0364583123102923,1.224236844169467e-13,7.900457202484079e-11,False,True,0.00020106192982974675,5.002803686033645e-06
