time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0009329304026284687,0.14821566564899527,4.804327983783417e-07,3.594635878598298e-09,4.840274342569401e-07,6.000114806342337e-09,6.000114806342349e-09,1.1580528575742387e-23,1.9300511656045862e-15,5.662453171463232e-07
0.0010234114021054528,0.14828565608087782,4.806596684524449e-07,3.944134892523832e-09,4.846038033449687e-07,6.5764838943709326e-09,6.576483894370969e-09,3.639594695233322e-23,5.534256228238575e-15,6.213001785193092e-07
0.0011226677735108135,0.14836205638935057,4.809073157833516e-07,4.327704151072744e-09,4.852350199344244e-07,7.2077004838267235e-09,7.207700483826693e-09,-3.0605682664462024e-23,4.246247847442852e-15,6.817219580235249e-07
0.0012315506032928262,0.1484454184545497,4.811775292596859e-07,4.748682330738741e-09,4.859262115904246e-07,7.898892139826851e-09,7.89889213982689e-09,3.970466940254533e-23,5.026612428640592e-15,7.480365809526232e-07
0.0013509935211980266,0.1485363354273038,4.814722315467152e-07,5.210738590399239e-09,4.866829701371145e-07,8.655650686516724e-09,8.655650686516785e-09,6.121136532892405e-23,7.071838680398132e-15,8.208220318653667e-07
0.0014820207057988585,0.14863544373543994,4.817934855896795e-07,5.717905889465454e-09,4.87511391479145e-07,9.48407202854724e-09,9.484072028547238e-09,-1.6543612251060553e-24,1.744357508174122e-16,9.007136030300035e-07
0.0016257556664437951,0.14874342499865034,4.821435008207245e-07,6.2746177681742504e-09,4.884181185888987e-07,1.039079913830103e-08,1.0390799138301014e-08,-1.6543612251060553e-23,1.5921405111258412e-15,9.884096882428155e-07
0.0017834308769319094,0.14886100780500877,4.825246389173797e-07,6.885748965208931e-09,4.894103878825887e-07,1.1383068431991034e-08,1.1383068431990931e-08,-1.0257039595657543e-22,9.010786201399885e-15,1.0846781811222263e-06
0.001956398343517065,0.1489889692902923,4.82939418921843e-07,7.556660290452857e-09,4.904960792122959e-07,1.2468759761698299e-08,1.246875976169814e-08,-1.5881867761018131e-22,1.2737327580730414e-14,1.1903635436930653e-06
0.0021461411978584036,0.14912813646775835,4.833905215513773e-07,8.29324821812939e-09,4.916837697695066e-07,1.3656450318908932e-08,1.3656450318908928e-08,-3.308722450212111e-24,2.4228275817990586e-16,1.3063946185500804e-06
0.0023542864143224177,0.14927938726082654,4.838807925456916e-07,9.101999718254985e-09,4.929827922639466e-07,1.4955472813348907e-08,1.495547281334889e-08,-1.6543612251060553e-23,1.1061911888398547e-15,1.4337932661871694e-06
0.0025826187606826775,0.14944365115276637,4.844132447728675e-07,9.990052903061631e-09,4.944032976759292e-07,1.6375978225331424e-08,1.6375978225331477e-08,5.293955920339377e-23,3.2327570588426443e-15,1.5736839183301414e-06
0.002833096101839324,0.14962190932887004,4.849910586902041e-07,1.0965264131473685e-08,4.959563228216778e-07,1.7929003371080203e-08,1.792900337108009e-08,-1.1249656330721176e-22,6.2745575411442384e-15,1.7273041485750388e-06
0.003107866187782014,0.14981519426405132,4.856175810074431e-07,1.2036282286920513e-08,4.976538632943636e-07,1.9626543843765787e-08,1.9626543843765866e-08,7.940933880509066e-23,4.046017446434619e-15,1.896016373006778e-06
