power_coefficient_SI,power_exponent
111762305.43074857,2.6768242754275864
18401196.657379113,2.5274853408107023
1786632.011334202,2.336619851281013
197547240.83425012,2.7225139427649294
54790386.83356285,2.61759542271556
5441785.651575074,2.4288653601339707
2063246.9615149286,2.349767956391827
367405595.7816601,2.773243088949746
1316952.4328848596,2.3109234008379826
2989147.6772172847,2.3794777576106103
10109583.674969457,2.480710064324552
1403606.5120209837,2.315785272182259
44261857.39117779,2.5982420877322308
65266470.88714233,2.6326015117418646
62947715.62356451,2.629390117351616
12755960.295586089,2.4974138110432573
15289565.876426332,2.5129679960790967
64770.716335601624,2.0652250961036533
49588427.85378416,2.60826399672081
13695255.497989057,2.5042141900295336
140653196.74848887,2.6949191613800507
123900832.75267543,2.6835109623479285
1581589.646328428,2.324281399417365
5707339.686194833,2.431451692134258
12102617.986731445,2.492671788728189
508577.8913237116,2.233663871861287
150939058.6931997,2.698335831828933
36799641.54652675,2.586705445298869
3530055.85015899,2.3904435238106467
47019094.19214334,2.604506170847944
8359221.726417064,2.4622634305308084
4885213.63087687,2.4194791413733174
126108738.04716353,2.6863410698879266
974467.0794243778,2.2879465776597376
1476008.8140530982,2.319619063039589
196217037.95831308,2.720956351304644
4276667.93050373,2.4104903294726756
613543184.1420146,2.8146714175083085
16180505.114215996,2.5172716371258366
122090.77689378461,2.1152675574554034
9687489.181477426,2.4751609550392235
2884769.2805026383,2.377913489130222
40170297.55265707,2.591855968076992
21384654.087113015,2.5397115047157146
19746565.144505817,2.5324973713812544
33023505.747376125,2.573885466270492
508332.9547593097,2.231916576814304
107137882.0500044,2.671419685836521
2781341.393442582,2.37189671930753
7587686.11492896,2.454692575243855
208766338.70663434,2.7266930970786962
26688679.1723959,2.559432064580308
463820591.49889874,2.792503935003509
7764055.654109376,2.456106040027639
5120412.200839116,2.4239006489643473
3061402.9473934253,2.3782023979561298
95047.90894830326,2.095213465604972
36417983.57172711,2.5843925005564348
6556286.567680841,2.442853067822988
4177622.0629081125,2.4058929947980805
748907.8795193839,2.2677203791028036
558624.9379057352,2.2416520843458234
290270.5549449057,2.1859026706009734
745077.4546931878,2.2647378592774428
831487.7974290227,2.2742996520084082
1031216.7414607279,2.2944820928390612
60371493.84122454,2.623776562807777
9125237.23604772,2.4702810834861517
188844404.78528023,2.717226810539246
15151467.60356931,2.510320022262403
11680038.620213168,2.4896587167604314
100396161.31571478,2.6675518934814724
129716936.35453703,2.6889287807337783
40889525.54823997,2.5929150990983203
44936607.25575663,2.6019501469030657
244318.2890387511,2.176383798563873
27220093.250136744,2.5588883806174456
22468018.439534333,2.5432965465857467
58339.0720368631,2.057146375709885
495903.7056278397,2.2332941074407406
79947039.12795357,2.6478549951983044
23953518.959553216,2.5497688404274554
2377662.394101278,2.359144817524568
5202341.630372376,2.4248804565099347
712342.7010024639,2.2624067964090395
1361078.9916879802,2.31319843361872
11929468.765939016,2.4920353396361077
8868694.286008386,2.4686828443290927
3156058.854805794,2.384222614173058
714642.6507921235,2.2580107738656747
12753922.976413587,2.4945649109875676
60020012.250558116,2.624742398832626
24916327.57945396,2.552656710727155
69519392.10720673,2.636514784078241
236501421.32118255,2.7360141943104375
1102169.6259841437,2.2961738017847155
17443880.705678143,2.523477529609146
197803.00013588226,2.154455370615598
10604558.063011497,2.4813496043837535
19232817.715169355,2.530722603473781
14803096.428411448,2.510901635125542
10552812.555474345,2.4833244357442226
24654186.6278759,2.5519698119480037
127752774.52196313,2.6867675207073325
54083.26844609228,2.047977901429039
13979200.99906136,2.506140605353981
2285116.1991130603,2.357716812754213
85546095.85995948,2.6547821828485936
93835346.04590058,2.6619871422489343
190921.068189528,2.152669492579851
293538.9845944322,2.189508126356312
10980548.735631846,2.4829918279028584
17783.431544255673,1.960778038609476
2184689.3294035397,2.352376271233368
2982440.7917204415,2.380942396970043
2127382.722952792,2.350988726891505
10005029.660320755,2.4794250563551827
21041688.294636447,2.53710094950559
23480614.135052208,2.549122804330938
14346832.859418776,2.506604106091632
6686743.86851168,2.4446311799106546
14663468.659273893,2.508488264994629
3754119.2303632926,2.3995595635180944
46217980.99360218,2.6042359048112758
19457593.186333694,2.5344187352038503
10545840.652010528,2.482655974840315
338241106.7722064,2.7657951545533686
147374.59986873367,2.130285020116401
164261568.5993651,2.7073906754671624
32616741.884162694,2.5739426865000516
665241.2096614115,2.2568381000072177
203649656.51023284,2.726291271643265
31531133.772523552,2.571780970628771
11974457.33656281,2.492096557526053
35985332.795999385,2.5827847673921838
31274932.175168667,2.5708993187226623
70389405.24651991,2.6356486372140413
3279619.3290858036,2.3864898073881764
110637607.72421488,2.674417462520477
7354856.857088649,2.4516665808810054
54622953.201023646,2.616619154528147
29402535.060407463,2.5666624528836306
63398132.25153971,2.629350141997891
15141004.658482874,2.512491541151931
5230871.73330178,2.426120855114562
121468820.67785378,2.6819707796443173
7367394.8820245825,2.45302029637105
2015273.075010005,2.344334587162769
11481238.972765137,2.486601895619071
201506212.4697983,2.725538829391036
614032.5410327655,2.2486155410887183
104343744.18193272,2.668520999037548
3197330.4098362057,2.384589539139487
34997701.89015154,2.5815526814169374
69000092.74561839,2.6362465522618104
565745.4193314116,2.244802747429439
14633596.835812183,2.511639988764262
1087023.724036619,2.2948929438439767
18299102.810772423,2.5273475869809423
11029626.227187905,2.485813310452578
10945857.351593306,2.4861165603535063
7926111.158407657,2.458600577473668
1588574.8389921375,2.3279753073919425
3564173.3729744176,2.393671890689352
139721166.08894068,2.694556090736929
1290906.2440159526,2.310882649885719
37888163.51639269,2.5869910678572805
23863527.99546629,2.550024395822132
2772283.0690182694,2.3735599970232544
2710296.476771158,2.373678874775165
67491296.08720851,2.6347251726820096
1337117.0177331923,2.3104524311102193
8265718.642559921,2.46252349811907
1546639.998176777,2.3254387593823522
50979485.16695627,2.6115532556573267
10827218.433725405,2.4847410716766145
287349761.3757296,2.753205911491168
1606977.2480201272,2.329117385558052
49766268.28844011,2.60825355300042
9804361.279144939,2.475896553593486
11632260.370936694,2.4896600353270397
3589823.324660433,2.3923556429360087
9780204.676541189,2.4766150452730304
242912.67791877963,2.170496748935648
83284471.72399972,2.6518706018978584
17746487.694337517,2.52320262009149
20674082.686800677,2.5381453583135483
8999323.863175951,2.4703021955441686
1690085.3996577247,2.331072394784524
34539.80394397335,2.0111428699172764
18539810.672953796,2.5289240445976486
31046051.181803495,2.5700204680991776
111567073.19795245,2.6751110674011898
98439926.50342175,2.6647746664274155
4115550.6230102563,2.404057686461815
13047580.220652157,2.4991531367972857
1501.077087203953,1.7556629130412802
2510389.395187147,2.3650313709073485
166658526.40800145,2.708945664668156
1672126.4005224828,2.329371791275191
5015299.639322471,2.420950691962296
52568898.95594202,2.615559753809024
31908611.021414556,2.5751034123104253
3465142.6557008093,2.392317096726443
2691907.2381749917,2.3708010817386125
900751.3881606787,2.2793187269933726
109733.30583268258,2.107568156820008
74341983.5116821,2.6413246740294496
20870800.227432538,2.5373222076287836
33514423.61018743,2.5780515439862226
12943389.152657218,2.4990015943151564
1168398.3148144896,2.300968228070106
5207867.590537231,2.4272831305468254
13104384.160488032,2.498978907274312
249646317.7637104,2.7407448440600723
59166230.658506,2.6238627302295856
551793.974246374,2.2398080713682487
53106441.69079614,2.617324805049808
60115882.06681213,2.624772381249906
9169429.94981487,2.4693093090758227
358115.5612339826,2.206785364503239
7319640.546822981,2.4509073755910378
4616065.967759558,2.4140942806717485
19895203.049021844,2.535180780010519
26267172.279906645,2.5571624553024797
8072506.223095789,2.4615984016600843
28934856.434939448,2.5650144922777494
42378231.85261022,2.596521523762534
155053386.32575065,2.701669354402088
16713003.810359618,2.519549199138789
331439.5822917423,2.1997419967478202
43649903.90749517,2.5978156745632885
562398.2147556989,2.2422633187933636
21214185.15298508,2.538164088345461
52036.006179096126,2.0460907300334568
6605150.401436887,2.4419251278286764
7420246.163392885,2.453751543438001
72287021.79248634,2.64103159390959
214989.2814996891,2.1619405320071063
51309135.57679113,2.6123767432972484
3800047.1604365674,2.3996862387131532
14972052.924594002,2.511838751250197
2079506.6872088949,2.3486551064597134
58178508.92943382,2.622571805689434
88325060.94638266,2.656925537384278
4038535.627424712,2.4050685209179283
431575229.3555141,2.7873785669425697
9140088.792184297,2.4699190898453085
60054204.15376968,2.626470295282851
55710411.64856088,2.616619165847071
54651500.929321736,2.6170287187833052
8484099.194772622,2.462614093625185
42960773.361599416,2.5976601329441382
7027426.437001458,2.44753015437852
30425976.493302684,2.5694045719588723
12769402.835270707,2.500112890462252
1343016.396015205,2.310835788697259
522089993.0355651,2.801326567425733
3023859.763790141,2.3795504667848437
268821474.00008297,2.7474955270261185
51360683.78740281,2.6106480390020756
19902300.593655463,2.5335767375065776
4467624.085469469,2.4119264845633768
35722282.97409913,2.5798988461555474
4902845.835009831,2.418778384272494
51406247.5681844,2.6130898396366793
11898195.410981081,2.4942061551396892
53526243.88879061,2.615513305192463
27952873.2828976,2.5605482376652184
684829.788828754,2.258365880286625
73663835.55980588,2.641819598174169
64057658.67011452,2.6311409058693362
69022084.4889087,2.633878394333928
146394800.77017087,2.697555717292181
1117517.4479783762,2.297277295180768
12811310.172299117,2.4974790419425004
