seed,stage,median_s,p10_s,p90_s,repeats
52691,G_access_cached_network,0.007218971004476771,0.007182006194489077,0.0073098603927064685,5
52691,power_law_mapping,1.1319934856146574e-06,1.0419869795441628e-06,1.232593785971403e-06,5
52691,one_D_uptake,0.03170236901496537,0.03152878620894626,0.032102140202187004,5
61417,particle_graph_build,0.003030179999768734,0.0030061089957598595,0.0038971037836745383,5
61417,gnn_single_curve,0.0011656660062726587,0.001161613006843254,0.0011817994236480445,5
61417,gnn_ensemble_curve,0.0034814209793694317,0.0034756821813061835,0.0035269721935037523,5
61417,G_access_cached_network,0.006967809982597828,0.006924364599399269,0.007052184996427968,5
61417,power_law_mapping,1.1020165402442217e-06,1.095997868105769e-06,1.3063952792435885e-06,5
61417,one_D_uptake,0.028681588009931147,0.02839959699776955,0.03020332218729891,5
69371,particle_graph_build,0.003032595996046439,0.002995141391875222,0.0031480111938435584,5
69371,gnn_single_curve,0.0011971160129178315,0.0011697883950546385,0.0012466480198781936,5
69371,gnn_ensemble_curve,0.0036124289908912033,0.003524536790791899,0.0036426635982934386,5
69371,G_access_cached_network,0.007606916973600164,0.007454301207326352,0.0077784044086001815,5
69371,power_law_mapping,1.3429962564259768e-06,1.1459982488304376e-06,1.527188578620553e-06,5
69371,one_D_uptake,0.031000568997114897,0.02992023078841157,0.03140698859933764,5
74167,particle_graph_build,0.0031137200130615383,0.0029831054038368166,0.003185613011009991,5
74167,gnn_single_curve,0.0011763479851651937,0.0011630079883616419,0.001232726004673168,5
74167,gnn_ensemble_curve,0.00352960400050506,0.003458210802637041,0.0036676400050055236,5
74167,G_access_cached_network,0.007367839018115774,0.0073203036037739365,0.0075395067920908335,5
74167,power_law_mapping,1.1920055840164423e-06,1.116591738536954e-06,1.2565928045660256e-06,5
74167,one_D_uptake,0.03269650600850582,0.032553208200260995,0.032992840389488264,5
81929,particle_graph_build,0.0030113680113572627,0.0029725583910476415,0.0032498812128324062,5
81929,gnn_single_curve,0.001178281003376469,0.0011590729933232068,0.0011832249991130083,5
81929,gnn_ensemble_curve,0.003509917005430907,0.0034916370117571206,0.0038740459945984184,5
81929,G_access_cached_network,0.0072983200079761446,0.007106450007995591,0.007549366005696357,5
81929,power_law_mapping,1.1920055840164423e-06,1.1305965017527342e-06,1.3849989045411347e-06,5
81929,one_D_uptake,0.03283929600729607,0.03238423019647598,0.033417522808304054,5
90709,particle_graph_build,0.0030136220157146454,0.0029874571890104564,0.0031204581900965422,5
90709,gnn_single_curve,0.001179023995064199,0.0011622194026131183,0.0012268899998161941,5
90709,gnn_ensemble_curve,0.003489609982352704,0.00347721700090915,0.0035403326037339866,5
90709,G_access_cached_network,0.007050655025523156,0.007003820786485449,0.00715217461111024,5
90709,power_law_mapping,1.0820222087204456e-06,1.0580115485936403e-06,1.33860157802701e-06,5
90709,one_D_uptake,0.03294723998988047,0.032802676601568236,0.03340620839735493,5
98251,particle_graph_build,0.003038060007384047,0.002998212195234373,0.003236960811773315,5
98251,gnn_single_curve,0.001172972988570109,0.00115662079770118,0.0011933803965803237,5
98251,gnn_ensemble_curve,0.0035484019899740815,0.0034767191973514855,0.003639013593783602,5
98251,G_access_cached_network,0.009055398986674845,0.008534496196079999,0.009717002202523872,5
98251,power_law_mapping,1.0720104910433292e-06,1.0600138921290637e-06,1.2846081517636777e-06,5
98251,one_D_uptake,0.0354394180176314,0.0346122681919951,0.0372723207983654,5
105019,particle_graph_build,0.003019455005414784,0.003003619390074164,0.003149584599304944,5
105019,gnn_single_curve,0.0011909370077773929,0.001173960411688313,0.0012084176007192582,5
105019,gnn_ensemble_curve,0.0035061730013694614,0.0034847926173824815,0.00356604260741733,5
105019,G_access_cached_network,0.007562795013654977,0.007437338383169845,0.007647530594840646,5
105019,power_law_mapping,1.2119999155402184e-06,1.0900082997977734e-06,1.3126060366630555e-06,5
105019,one_D_uptake,0.030748249002499506,0.03053582161082886,0.031271110393572596,5
113117,particle_graph_build,0.0029907319985795766,0.0029644843889400363,0.0031128258095122876,5
113117,gnn_single_curve,0.0011511619959492236,0.0011475413921289146,0.0011710653954651207,5
113117,gnn_ensemble_curve,0.0035297390131745487,0.003481353202369064,0.003626401396468282,5
113117,G_access_cached_network,0.007432040001731366,0.007320120808435604,0.007678338390542194,5
113117,power_law_mapping,1.1119991540908813e-06,1.0740011930465699e-06,1.3425829820334912e-06,5
113117,one_D_uptake,0.03279137899517082,0.03265417838701978,0.03314631080138497,5
121021,particle_graph_build,0.002965373976621777,0.0029404875996988265,0.0032049223955255,5
121021,gnn_single_curve,0.0011727329983841628,0.0011404297896660865,0.0012197586125694214,5
121021,gnn_ensemble_curve,0.003449818992521614,0.003422745008720085,0.0036975036084186284,5
121021,G_access_cached_network,0.007696571003179997,0.007577937195310369,0.007810583821265027,5
