test_seed,initialization,epochs,training_s,mean_train_curve_nrmse,training_seeds
52691,29,200,7.743624631984858,0.06655393930607753,18427 27183 31991 40213 47837 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
52691,47,200,7.7317604340205435,0.06653700642053272,18427 27183 31991 40213 47837 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
61417,11,200,6.932310366013553,0.05903588952025381,18427 27183 31991 40213 47837 52691 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
61417,29,200,6.984941672009882,0.05942303617705513,18427 27183 31991 40213 47837 52691 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
61417,47,200,6.77038564599934,0.059544704044686425,18427 27183 31991 40213 47837 52691 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
69371,11,200,6.580564636999043,0.06523495445469563,18427 27183 31991 40213 47837 52691 61417 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
69371,29,200,6.565950388991041,0.0652848768317925,18427 27183 31991 40213 47837 52691 61417 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
69371,47,200,6.675528018997284,0.06524321995532033,18427 27183 31991 40213 47837 52691 61417 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
74167,11,200,6.889617844979512,0.06510706690694525,18427 27183 31991 40213 47837 52691 61417 69371 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
74167,29,200,6.9230589359940495,0.06510981699096828,18427 27183 31991 40213 47837 52691 61417 69371 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
74167,47,200,7.55756848998135,0.06508780859740741,18427 27183 31991 40213 47837 52691 61417 69371 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
81929,11,200,8.172887204011204,0.06574253779307941,18427 27183 31991 40213 47837 52691 61417 69371 74167 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
81929,29,200,7.516423733002739,0.06577544205709357,18427 27183 31991 40213 47837 52691 61417 69371 74167 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
81929,47,200,8.235312572011026,0.0657279944447579,18427 27183 31991 40213 47837 52691 61417 69371 74167 90709 98251 105019 113117 121021 129121 137077 145093 153133 161123
90709,11,200,7.255558484001085,0.0659997643896496,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 98251 105019 113117 121021 129121 137077 145093 153133 161123
90709,29,200,7.792308767995564,0.06602247672509001,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 98251 105019 113117 121021 129121 137077 145093 153133 161123
90709,47,200,7.729111012013163,0.06600239261605187,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 98251 105019 113117 121021 129121 137077 145093 153133 161123
98251,11,200,7.222729039000114,0.06261586199239587,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 105019 113117 121021 129121 137077 145093 153133 161123
98251,29,200,8.424356142990291,0.062461132758030447,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 105019 113117 121021 129121 137077 145093 153133 161123
98251,47,200,7.286780784983421,0.06236207216335436,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 105019 113117 121021 129121 137077 145093 153133 161123
105019,11,200,8.011335524002789,0.057270112414133094,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 113117 121021 129121 137077 145093 153133 161123
105019,29,200,7.215211730013834,0.05722566961165146,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 113117 121021 129121 137077 145093 153133 161123
105019,47,200,7.3136577999976,0.05708294726908267,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 113117 121021 129121 137077 145093 153133 161123
113117,11,200,7.281648767995648,0.06576524817890612,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 121021 129121 137077 145093 153133 161123
113117,29,200,8.244915624003625,0.0658228144620122,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 121021 129121 137077 145093 153133 161123
113117,47,200,7.597756958013633,0.06579316637079945,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 121021 129121 137077 145093 153133 161123
121021,11,200,7.238796155987075,0.06761700172903759,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 129121 137077 145093 153133 161123
121021,29,200,7.264995949983131,0.06770310604072068,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 129121 137077 145093 153133 161123
121021,47,200,7.620671172015136,0.06771600053646233,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 129121 137077 145093 153133 161123
129121,11,200,7.8605842249817215,0.061396699580170036,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 137077 145093 153133 161123
129121,29,200,7.275300412002252,0.06163469871045896,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 137077 145093 153133 161123
129121,47,200,7.264736737997737,0.06159250583770226,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 137077 145093 153133 161123
137077,11,200,7.180156080983579,0.06655945321489146,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 145093 153133 161123
137077,29,200,7.183629528997699,0.06658013433445543,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 145093 153133 161123
137077,47,200,7.186313396989135,0.06653839112961953,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 145093 153133 161123
145093,11,200,7.181918427988421,0.06719959285478767,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 153133 161123
145093,29,200,7.174479050998343,0.06720270143526332,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 153133 161123
145093,47,200,7.472038491017884,0.0671979440178978,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 153133 161123
153133,11,200,8.459609754005214,0.06525860215277059,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 161123
153133,29,200,7.49428546402487,0.06527096489912577,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 161123
153133,47,200,7.325224545988021,0.06536038938354774,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 161123
161123,11,200,7.530503702990245,0.06546144628316562,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133
161123,29,200,7.55260416600504,0.06533123124561842,18427 27183 31991 40213 47837 52691 61417 69371 74167 81929 90709 98251 105019 113117 121021 129121 137077 145093 153133
