seed,model,curve_nrmse,final_reference,final_prediction,final_relative_error,monotonic,within_bounds
98251,geometry_ridge,0.12735167113718104,0.3129742683579579,0.2595765329508025,-0.1706138197472605,True,True
98251,G_access_power_1D,0.017198199687634946,0.3129742683579579,0.30101966226897553,-0.03819676982297318,True,True
98251,gnn_init_11,0.12338194896765696,0.3129742683579579,0.26105445623397827,-0.1658916319107659,True,True
98251,gnn_init_29,0.12088838851445712,0.3129742683579579,0.2618720233440399,-0.1632793816630025,True,True
98251,gnn_init_47,0.1136741707179417,0.3129742683579579,0.26423001289367676,-0.15574524934596504,True,True
98251,gnn_ensemble,0.11931238141376757,0.3129742683579579,0.262385497490565,-0.16163875430657776,True,True
98251,interpolation_oracle,0.0023705040606132456,0.3129742683579579,0.3129742683579579,0.0,True,True
105019,mean_curve,0.21939707386098614,0.2055532556608265,0.26767884203261944,0.3022359639698598,True,True
105019,geometry_ridge,0.19169879523482983,0.2055532556608265,0.2605433318378266,0.26752228273015805,True,True
105019,G_access_power_1D,0.0297411108106198,0.2055532556608265,0.20038371958875653,-0.025149375792908702,True,True
105019,gnn_init_11,0.2084072534844698,0.2055532556608265,0.26513007283210754,0.2898364075030068,True,True
105019,gnn_init_29,0.21954099558573126,0.2055532556608265,0.26788192987442017,0.3032239699303971,True,True
105019,gnn_init_47,0.22024615135244024,0.2055532556608265,0.2680545151233673,0.30406358323835614,True,True
105019,gnn_ensemble,0.2160641200844981,0.2055532556608265,0.267022172609965,0.2990413202239201,True,True
105019,interpolation_oracle,0.0019011853866464602,0.2055532556608265,0.2055532556608265,0.0,True,True
113117,mean_curve,0.04954139753183829,0.281763344934014,0.26366778470245167,-0.06422254901821997,True,True
113117,geometry_ridge,0.05626167840415845,0.281763344934014,0.3063181705264389,0.0871469835729533,True,True
113117,G_access_power_1D,0.027860454807379215,0.281763344934014,0.265346836670819,-0.05826346314507159,True,True
113117,gnn_init_11,0.04831510166646191,0.281763344934014,0.2641738951206207,-0.06242632382687159,True,True
113117,gnn_init_29,0.04957314866833754,0.281763344934014,0.2638220191001892,-0.06367515915892631,True,True
113117,gnn_init_47,0.04879940922372749,0.281763344934014,0.2640385329723358,-0.06290673460676424,True,True
113117,gnn_ensemble,0.04889581163209491,0.281763344934014,0.26401148239771527,-0.06300273919752064,True,True
113117,interpolation_oracle,0.0022408843258143922,0.281763344934014,0.281763344934014,0.0,True,True
121021,mean_curve,0.010516009272059612,0.2685458230112915,0.264363443751016,-0.015574173574465264,True,True
121021,geometry_ridge,0.01641375346325969,0.2685458230112915,0.2612127198832888,-0.027306710809254845,True,True
121021,G_access_power_1D,0.03190037275434461,0.2685458230112915,0.26721973897650864,-0.004938017727898493,True,True
121021,gnn_init_11,0.010130278435516555,0.2685458230112915,0.265069842338562,-0.012943715280141665,True,True
121021,gnn_init_29,0.010552687887866804,0.2685458230112915,0.2645221948623657,-0.014983022650687742,True,True
