time_s,reference_loading,predicted_loading
0.0069093665282681,5.328229722853174e-07,1.3104784049191163e-07
0.0073484219305622,5.943396710181904e-07,1.4723474149885513e-07
0.007815377089729,6.625214406558195e-07,1.6536370611855692e-07
0.008312004894633,7.380220718520138e-07,1.8565801897722082e-07
0.008840190892286,8.21549601485467e-07,2.0836505694206651e-07
0.0094019404467045,9.138694854300472e-07,2.3375871300281783e-07
0.0099993863526764,1.0158079412291571e-06,2.6214192441782423e-07
0.0106347969333434,1.1282552503977852e-06,2.9384951473267247e-07
0.0113105846523451,1.2521691142189225e-06,3.2925120670464623e-07
0.0120293152732203,1.3885780667204002e-06,3.6875489313558544e-07
0.0127937176008429,1.5385848312224437e-06,4.128102056396367e-07
0.0136066938418765,1.7033697512433226e-06,4.619123332550602e-07
0.0144713306235837,1.88419424999942e-06,5.166061043955801e-07
0.0153909107128253,2.0824043468249763e-06,5.774904576456769e-07
0.0163689254797428,2.299434438221264e-06,6.452232627671525e-07
0.0174090881534448,2.536810913138666e-06,7.205263268072318e-07
0.0185153479200257,2.7961562175592e-06,8.041910511286717e-07
0.0196919049164424,3.079192307885052e-06,8.97084246941504e-07
0.0209432261771763,3.3877452251568813e-06,1.000154433567656e-06
0.0222740625942249,3.723749918995774e-06,1.114438630254191e-06
0.0236894669548157,4.089255474326127e-06,1.2410692762087244e-06
0.0251948131253257,4.486430689658532e-06,1.3812819806490948e-06
0.0267958164542425,4.917570733232293e-06,1.5364235655923747e-06
0.0284985554716303,5.385103171729154e-06,1.7079605590023878e-06
0.0303094949674878,5.891596432674994e-06,1.8974881855483633e-06
0.0322355105366193,6.439769430473868e-06,2.1067397626534378e-06
0.0342839146832086,7.03250220744734e-06,2.337596659854016e-06
0.0364624845842072,7.672847364737926e-06,2.5920981572428047e-06
0.038779491616945,8.364043120229213e-06,2.8724521864346406e-06
0.0412437327630729,9.109527135630772e-06,3.1810465948046245e-06
0.0438645640080667,9.912953596871515e-06,3.520460494908066e-06
0.0466519358631018,1.077821224617834e-05,3.893475868219131e-06
0.0496164311441627,1.1709447822861502e-05,4.303089473518362e-06
0.0527693051518261,1.2711081372030092e-05,4.752524430939743e-06
0.0561225284042652,1.378783083505754e-05,5.245242324051163e-06
0.0596888320857217,1.4944736210508388e-05,5.78495549032721e-06
0.0634817563829987,1.6187186221072375e-05,6.3756393086266065e-06
0.0675157018934936,1.7520943775176436e-05,7.021543996548205e-06
0.0718059842999539,1.895217193731225e-05,7.727206361470595e-06
0.0763688925195356,2.048745808799094e-05,8.497460326856784e-06
0.0812217505479433,2.2133842707431868e-05,9.337448151042054e-06
0.0863829832334518,2.389884777236702e-05,1.0252631237493899e-05
0.0918721862305363,2.5790501963423293e-05,1.1248800075846012e-05
0.0977102003987026,2.781736463842696e-05,1.2332083492054384e-05
0.1039191909289878,2.9988550975708456e-05,1.350895663542493e-05
0.110522731498551,3.231376058946725e-05,1.4786248771110678e-05
0.1175458937728643,3.480330230215549e-05,1.6171151682718687e-05
0.1250153425953162,3.7468118992907054e-05,1.7671226521909863e-05
0.1329594372256346,4.031981330902606e-05,1.9294410977473494e-05
0.1414083390115016,4.337067603183523e-05,2.1049025325549507e-05
0.1503941259021549,4.663371780223404e-05,2.2943779925865878e-05
0.1599509142387531,5.012269902469589e-05,2.4987784333678026e-05
0.1701149882839033,5.38521628736195e-05,2.7190558319771365e-05
0.1809249379821373,5.783747352965211e-05,2.956204415216111e-05
0.1924218054743714,6.20948583047263e-05,3.211262082606309e-05
0.2046492409226218,6.664145222733894e-05,3.4853125998886116e-05
0.2176536682365943,7.149534823251043e-05,3.7794882449873466e-05
0.2314844613313631,7.667565252255966e-05,4.0949729948004185e-05
0.2461941315853368,8.220254831534396e-05,4.433006299910686e-05
0.2618385272102325,8.80973644885959e-05,4.794887778664787e-05
0.2784770452900065,9.438265308164514e-05,5.181983186553109e-05
0.2961728572937903,0.0001010822732845,5.5957308154401505e-05
0.3149931489190346,0.0001082214873882,6.0376488996954026e-05
0.3350093751754794,0.0001158270641083,6.509343803497575e-05
