seed,bin,z_low_m,z_high_m,z_center_m,solid_fraction,porosity
161123,3,0.0035624823,0.0047499764000000005,0.00415622935,0.5672537868228373,0.43274621317716266
161123,4,0.0047499764000000005,0.005937470500000001,0.005343723450000001,0.5399435264460127,0.46005647355398727
161123,5,0.005937470500000001,0.0071249646,0.006531217550000001,0.5739476392082875,0.4260523607917125
161123,6,0.0071249646,0.0083124587,0.0077187116500000005,0.5452706957020886,0.45472930429791136
161123,7,0.0083124587,0.009499952800000001,0.00890620575,0.5766143974930203,0.42338560250697965
161123,8,0.009499952800000001,0.010687446900000001,0.010093699850000002,0.574204434005867,0.42579556599413304
161123,9,0.010687446900000001,0.011874941000000002,0.01128119395,0.566926320064706,0.433073679935294
161123,10,0.011874941000000002,0.013062435100000002,0.012468688050000003,0.5720493256554083,0.42795067434459166
161123,11,0.013062435100000002,0.0142499292,0.013656182150000001,0.5596005742171996,0.44039942578280045
161123,12,0.0142499292,0.015437423300000001,0.01484367625,0.5690316934227082,0.4309683065772918
161123,13,0.015437423300000001,0.0166249174,0.016031170350000002,0.5655677757306691,0.4344322242693309
161123,14,0.0166249174,0.017812411500000003,0.017218664450000004,0.5845438094195463,0.4154561905804537
161123,15,0.017812411500000003,0.018999905600000002,0.018406158550000003,0.5560828574578957,0.44391714254210435
161123,16,0.018999905600000002,0.0201873997,0.01959365265,0.5679215201911672,0.43207847980883285
161123,17,0.0201873997,0.021374893800000003,0.02078114675,0.5837085799463679,0.41629142005363207
161123,18,0.021374893800000003,0.0225623879,0.021968640850000002,0.5454147771088329,0.4545852228911671
161123,19,0.0225623879,0.023749882000000003,0.023156134950000004,0.580378835808651,0.419621164191349
161123,20,0.023749882000000003,0.024937376100000002,0.024343629050000003,0.5791035586454728,0.4208964413545272
161123,21,0.024937376100000002,0.026124870200000004,0.02553112315,0.5594905686104046,0.4405094313895954
161123,22,0.026124870200000004,0.027312364300000003,0.026718617250000003,0.5726505476408896,0.42734945235911037
161123,23,0.027312364300000003,0.0284998584,0.027906111350000002,0.5571802784443916,0.44281972155560845
161123,24,0.0284998584,0.029687352500000003,0.029093605450000004,0.5566621615417808,0.44333783845821917
161123,25,0.029687352500000003,0.030874846600000002,0.030281099550000003,0.5617134798008224,0.4382865201991776
161123,26,0.030874846600000002,0.032062340700000004,0.03146859365,0.5568768109268775,0.44312318907312254
161123,27,0.032062340700000004,0.0332498348,0.03265608775000001,0.5499876602041085,0.4500123397958915
161123,28,0.0332498348,0.0344373289,0.03384358185,0.5409968538875527,0.4590031461124473
161123,29,0.0344373289,0.03562482300000001,0.035031075950000004,0.2877754244513424,0.7122245755486576
18427,0,0.0,0.0011943591333333334,0.0005971795666666667,0.5309265385912217,0.46907346140877826
18427,1,0.0011943591333333334,0.002388718266666667,0.0017915387,0.5539299237340813,0.44607007626591866
18427,2,0.002388718266666667,0.0035830774,0.0029858978333333333,0.5479215122815596,0.4520784877184404
18427,3,0.0035830774,0.004777436533333334,0.004180256966666667,0.584313407097497,0.415686592902503
18427,4,0.004777436533333334,0.0059717956666666665,0.0053746161,0.5522699814846209,0.4477300185153791
18427,5,0.0059717956666666665,0.0071661548,0.006568975233333333,0.5655048716668816,0.43449512833311843
18427,6,0.0071661548,0.008360513933333334,0.007763334366666668,0.5624579681071139,0.4375420318928861
18427,7,0.008360513933333334,0.009554873066666667,0.0089576935,0.5684439213732804,0.43155607862671963
18427,8,0.009554873066666667,0.0107492322,0.010152052633333334,0.5667941701528938,0.4332058298471062
18427,9,0.0107492322,0.011943591333333333,0.011346411766666667,0.5724132284929526,0.4275867715070474
18427,10,0.011943591333333333,0.013137950466666668,0.012540770900000001,0.5849548447679226,0.4150451552320774
18427,11,0.013137950466666668,0.0143323096,0.013735130033333334,0.5627258783851329,0.4372741216148671
18427,12,0.0143323096,0.015526668733333334,0.014929489166666667,0.5812095343351441,0.4187904656648559
18427,13,0.015526668733333334,0.01672102786666667,0.0161238483,0.5440749731056441,0.4559250268943559
18427,14,0.01672102786666667,0.017915387,0.017318207433333337,0.570443910426508,0.429556089573492
18427,15,0.017915387,0.019109746133333334,0.018512566566666666,0.5559076376169807,0.4440923623830193
18427,16,0.019109746133333334,0.020304105266666667,0.019706925700000003,0.5779394682128502,0.42206053178714975
18427,17,0.020304105266666667,0.0214984644,0.020901284833333332,0.5491771600617943,0.4508228399382057
18427,18,0.0214984644,0.022692823533333333,0.02209564396666667,0.5612553325396984,0.4387446674603016
18427,19,0.022692823533333333,0.023887182666666666,0.023290003099999998,0.5663356015841754,0.4336643984158246
18427,20,0.023887182666666666,0.025081541800000003,0.024484362233333334,0.5654372419437768,0.43456275805622324
18427,21,0.025081541800000003,0.026275900933333336,0.02567872136666667,0.5580956839454279,0.44190431605457214
18427,22,0.026275900933333336,0.02747026006666667,0.0268730805,0.5589437107309969,0.4410562892690031
18427,23,0.02747026006666667,0.0286646192,0.028067439633333337,0.5655625630043486,0.4344374369956514
18427,24,0.0286646192,0.029858978333333334,0.029261798766666666,0.5524438662340281,0.4475561337659719
18427,25,0.029858978333333334,0.031053337466666667,0.030456157900000003,0.5355534674529114,0.46444653254708856
18427,26,0.031053337466666667,0.0322476966,0.03165051703333333,0.564379993384141,0.435620006615859
18427,27,0.0322476966,0.03344205573333334,0.03284487616666667,0.5340742729631076,0.4659257270368924
18427,28,0.03344205573333334,0.034636414866666666,0.0340392353,0.5417525422769593,0.45824745772304065
18427,29,0.034636414866666666,0.035830774,0.035233594433333335,0.2666216855465703,0.7333783144534297
27183,0,0.0,0.0011828609,0.00059143045,0.5355547072109902,0.4644452927890098
27183,1,0.0011828609,0.0023657218,0.0017742913500000002,0.5576258368345115,0.4423741631654885
27183,2,0.0023657218,0.0035485827000000005,0.00295715225,0.5573304742004784,0.44266952579952157
27183,3,0.0035485827000000005,0.0047314436,0.00414001315,0.5767464311920758,0.4232535688079242
27183,4,0.0047314436,0.0059143045,0.005322874050000001,0.550643301476789,0.44935669852321103
27183,5,0.0059143045,0.007097165400000001,0.0065057349500000005,0.5638243094587789,0.4361756905412211
27183,6,0.007097165400000001,0.0082800263,0.00768859585,0.5595751412042789,0.44042485879572113
27183,7,0.0082800263,0.0094628872,0.00887145675,0.573335173852617,0.426664826147383
27183,8,0.0094628872,0.010645748100000001,0.010054317650000002,0.5705762863189253,0.4294237136810747
27183,9,0.010645748100000001,0.011828609,0.01123717855,0.5780328514838987,0.4219671485161013
27183,10,0.011828609,0.013011469900000001,0.01242003945,0.5675759956959268,0.43242400430407324
27183,11,0.013011469900000001,0.014194330800000002,0.013602900350000002,0.5643637062993332,0.4356362937006668
27183,12,0.014194330800000002,0.0153771917,0.014785761250000001,0.560976659420114,0.439023340579886
27183,13,0.0153771917,0.0165600526,0.01596862215,0.5521899024367942,0.4478100975632058
