seed,bin,r_low_m,r_high_m,r_center_m,r_over_R,solid_fraction,porosity
31991,4,0.0032,0.004,0.0036,0.44999999999999996,0.5794016558994777,0.4205983441005223
31991,5,0.004,0.0048000000000000004,0.0044,0.55,0.5989515532042294,0.40104844679577056
31991,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5660044572995373,0.4339955427004627
31991,7,0.0056,0.0064,0.006,0.75,0.562124998385567,0.43787500161443305
31991,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5991441753536544,0.4008558246463456
31991,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4185736274711743,0.5814263725288257
40213,0,0.0,0.0008,0.0004,0.05,0.5827722927232665,0.41722770727673353
40213,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.6076984145960648,0.3923015854039352
40213,2,0.0016,0.0024000000000000002,0.002,0.25,0.5852489596968693,0.4147510403031307
40213,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.6008450891188051,0.3991549108811949
40213,4,0.0032,0.004,0.0036,0.44999999999999996,0.5749081864542646,0.42509181354573544
40213,5,0.004,0.0048000000000000004,0.0044,0.55,0.5995163889054443,0.40048361109455566
40213,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.562512263436932,0.43748773656306805
40213,7,0.0056,0.0064,0.006,0.75,0.5700039956227774,0.42999600437722263
40213,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.6033322317162986,0.3966677682837014
40213,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4320060089320144,0.5679939910679856
47837,0,0.0,0.0008,0.0004,0.05,0.5830316914653627,0.4169683085346373
47837,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.6035207364094095,0.3964792635905905
47837,2,0.0016,0.0024000000000000002,0.002,0.25,0.5806757116842882,0.4193242883157118
47837,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.6112695890539739,0.3887304109460261
47837,4,0.0032,0.004,0.0036,0.44999999999999996,0.5629724823434467,0.43702751765655334
47837,5,0.004,0.0048000000000000004,0.0044,0.55,0.6065980703335943,0.39340192966640575
47837,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5674832943703121,0.4325167056296879
47837,7,0.0056,0.0064,0.006,0.75,0.5630511188390408,0.4369488811609592
47837,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5984787790527908,0.4015212209472092
47837,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.41990214785521396,0.580097852144786
52691,0,0.0,0.0008,0.0004,0.05,0.5968902077473801,0.4031097922526199
52691,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.6013797765941998,0.39862022340580017
52691,2,0.0016,0.0024000000000000002,0.002,0.25,0.5977712846089558,0.4022287153910442
52691,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.6034246830858061,0.3965753169141939
52691,4,0.0032,0.004,0.0036,0.44999999999999996,0.5816645639791255,0.41833543602087453
52691,5,0.004,0.0048000000000000004,0.0044,0.55,0.6011157733205241,0.3988842266794759
52691,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5654376628969451,0.4345623371030549
52691,7,0.0056,0.0064,0.006,0.75,0.5575992424708154,0.4424007575291846
52691,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5909216910605334,0.4090783089394666
52691,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.41998920192539013,0.5800107980746099
61417,0,0.0,0.0008,0.0004,0.05,0.592996773199884,0.407003226800116
61417,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.591756370900618,0.40824362909938205
61417,2,0.0016,0.0024000000000000002,0.002,0.25,0.596132392057837,0.40386760794216303
61417,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.5812389724556143,0.4187610275443857
61417,4,0.0032,0.004,0.0036,0.44999999999999996,0.5713051262115785,0.4286948737884215
61417,5,0.004,0.0048000000000000004,0.0044,0.55,0.6099425515332731,0.39005744846672685
61417,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5525664813084803,0.4474335186915197
61417,7,0.0056,0.0064,0.006,0.75,0.5687552465929541,0.43124475340704593
61417,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5973194301267405,0.4026805698732595
61417,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4319198274109205,0.5680801725890795
69371,0,0.0,0.0008,0.0004,0.05,0.6335049802519476,0.36649501974805243
69371,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.6078926159115445,0.39210738408845547
69371,2,0.0016,0.0024000000000000002,0.002,0.25,0.5885671851205228,0.41143281487947725
69371,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.5985169909247102,0.4014830090752898
69371,4,0.0032,0.004,0.0036,0.44999999999999996,0.5807271272367421,0.41927287276325786
69371,5,0.004,0.0048000000000000004,0.0044,0.55,0.6047347967273135,0.39526520327268655
69371,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.572617930961201,0.42738206903879905
69371,7,0.0056,0.0064,0.006,0.75,0.5600869834087764,0.4399130165912236
69371,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.6037639855920103,0.3962360144079897
69371,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.42238577055461846,0.5776142294453815
74167,0,0.0,0.0008,0.0004,0.05,0.6081805550963936,0.39181944490360643
74167,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.5757365317047123,0.4242634682952877
74167,2,0.0016,0.0024000000000000002,0.002,0.25,0.5907358995984334,0.4092641004015666
74167,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.6039566162887887,0.3960433837112113
74167,4,0.0032,0.004,0.0036,0.44999999999999996,0.5740870088982102,0.4259129911017898
74167,5,0.004,0.0048000000000000004,0.0044,0.55,0.600053373728375,0.399946626271625
74167,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5664324394846393,0.4335675605153607
74167,7,0.0056,0.0064,0.006,0.75,0.5625495195839363,0.4374504804160637
74167,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.6005551862767369,0.3994448137232631
74167,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.42221509626203585,0.5777849037379641
81929,0,0.0,0.0008,0.0004,0.05,0.5650310507321289,0.4349689492678711
81929,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.585862096335458,0.41413790366454195
81929,2,0.0016,0.0024000000000000002,0.002,0.25,0.5976759516073731,0.4023240483926269
81929,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.6052185221047045,0.3947814778952955
81929,4,0.0032,0.004,0.0036,0.44999999999999996,0.5795639890609768,0.42043601093902316
81929,5,0.004,0.0048000000000000004,0.0044,0.55,0.5980131389953202,0.40198686100467984
81929,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5731766252321162,0.4268233747678838
81929,7,0.0056,0.0064,0.006,0.75,0.5549452608795008,0.4450547391204992
81929,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.6026172745387429,0.3973827254612571
81929,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.4180180228721065,0.5819819771278936
90709,0,0.0,0.0008,0.0004,0.05,0.5821408755589313,0.41785912444106865
90709,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.610257038187929,0.389742961812071
90709,2,0.0016,0.0024000000000000002,0.002,0.25,0.5963284265594136,0.40367157344058635
90709,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.5962829597006521,0.40371704029934785
90709,4,0.0032,0.004,0.0036,0.44999999999999996,0.5776579009867915,0.4223420990132085
90709,5,0.004,0.0048000000000000004,0.0044,0.55,0.5868243910387322,0.4131756089612678
90709,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5670924983566589,0.43290750164334113
90709,7,0.0056,0.0064,0.006,0.75,0.5638388303505065,0.4361611696494935
90709,8,0.0064,0.007200000000000001,0.0068000000000000005,0.8500000000000001,0.5907315656152895,0.4092684343847105
90709,9,0.007200000000000001,0.008,0.007600000000000001,0.9500000000000001,0.41929457701717043,0.5807054229828296
98251,0,0.0,0.0008,0.0004,0.05,0.6252919481148665,0.37470805188513345
98251,1,0.0008,0.0016,0.0012000000000000001,0.15000000000000002,0.600431250795866,0.399568749204134
98251,2,0.0016,0.0024000000000000002,0.002,0.25,0.5873246302603349,0.4126753697396651
98251,3,0.0024000000000000002,0.0032,0.0028000000000000004,0.35000000000000003,0.5916449419652983,0.40835505803470173
98251,4,0.0032,0.004,0.0036,0.44999999999999996,0.5831221309639851,0.41687786903601487
98251,5,0.004,0.0048000000000000004,0.0044,0.55,0.6095662915235706,0.39043370847642944
98251,6,0.0048000000000000004,0.0056,0.0052,0.6499999999999999,0.5726761049596524,0.4273238950403476
