pore_id,x_m,y_m,z_m,volume_m3,inscribed_radius_m,component,inlet,outlet,wall,sobol_void_samples
25,-0.004960208385929462,0.003411482088788664,0.014784180305675281,1.5243802226322712e-10,0.0005050612498429882,0,0,0,0,22
26,-0.00500939810480137,0.003602204494514743,0.01446329430482707,7.791276693453829e-11,0.0005001714476706448,0,0,0,0,11
27,-0.004080343866381127,0.003877344889165935,0.013500497150308407,2.2018825438021693e-10,0.00029920525389197166,0,0,0,0,32
28,-0.0037366305191993197,0.003252609259522389,0.0130634095463352,1.7953811511002305e-10,0.0003152081047054044,0,0,0,0,26
29,-0.005966423523169456,-0.00425529586393288,0.0007294216909964946,2.645646564168453e-09,0.0004561658658239594,0,1,0,1,390
30,-0.0062864709632203634,-0.0021936475368491194,0.0012739907099370298,1.9613692197868555e-09,0.0002573906275535773,0,1,0,1,289
31,-0.002886607155025257,-0.004210069982108478,0.025526866124917738,2.1341323116851794e-10,0.0003186767625162232,0,0,0,0,31
32,-7.784476722160287e-05,-0.005196845408921133,0.03464551464672482,1.2906419218286561e-09,0.0003944950962643945,0,0,0,0,190
33,-0.0008407143425413699,-0.004899056825982638,0.034579572818218114,9.78990854090503e-10,0.00042263836047781776,0,0,0,0,144
34,0.004950028622303215,8.198342669644347e-05,0.03526697896839769,9.044655987618143e-10,0.0006737534824280816,0,0,0,0,133
35,0.0049009119732175465,-0.00048339140085651016,0.034954506454357805,1.385492246792442e-09,0.00046358736238283425,0,0,0,0,204
36,-0.0013031411087224337,0.006114522437995753,0.0351718198831639,1.6632681984721002e-09,0.0005462793985681456,0,0,0,0,245
37,-0.0011715395841313512,0.0058422469272564675,0.035457206656637937,3.827888114609925e-10,0.0007205598271439376,0,0,0,0,56
38,-0.004914034274740678,0.0033062923921445384,0.0018553601912540535,2.811634632855078e-10,0.00032693820519838566,0,0,0,0,41
39,7.536192676819588e-05,-0.006193374127835733,0.003495961244208694,1.9986318474511998e-10,0.00028221737590825534,0,0,0,0,29
