time_s,pnm_loading_mol_kg,trial_1_loading_mol_kg,trial_2_loading_mol_kg,trial_4_loading_mol_kg,trial_8_loading_mol_kg
0.007815377089729,5.765695757206378e-07,5.3901789333886985e-08,2.2484366242332337e-07,1.6599422713155136e-07,2.1727260735046366e-07
0.008312004894633,6.426654175858352e-07,6.073941709833425e-08,2.5203434675578627e-07,1.8637270781744187e-07,2.435960622970942e-07
0.008840190892286,7.158660502833112e-07,6.842935064648573e-08,2.8239556366632947e-07,2.0917521822149453e-07,2.729961950179892e-07
0.0094019404467045,7.968639498591306e-07,7.707498993085388e-08,3.162786928824671e-07,2.3467717976230114e-07,3.058149222451036e-07
0.0099993863526764,8.864092776446716e-07,8.67918206681969e-08,3.5407142718040074e-07,2.631832689616645e-07,3.424296378197682e-07
0.0106347969333434,9.853135105676504e-07,9.770860898240097e-08,3.96201227281298e-07,2.95030283663228e-07,3.8325650725564644e-07
0.0113105846523451,1.0944531714730109e-06,1.099688894330976e-07,4.4313901648350913e-07,3.305901919743993e-07,4.287541513157367e-07
0.0120293152732203,1.2147736701167391e-06,1.2373262195237273e-07,4.954032041106193e-07,3.7027343950120313e-07,4.79427548563319e-07
0.0127937176008429,1.3472932868497286e-06,1.3917767722182787e-07,5.535639852184968e-07,4.145325599316137e-07,5.358323243806315e-07
0.0136066938418765,1.4931073072668373e-06,1.5650201423985615e-07,6.182481293401136e-07,4.6386603839810677e-07,5.985792366237519e-07
0.0144713306235837,1.6533922776095158e-06,1.759254321305274e-07,6.90144007947083e-07,5.188224591593663e-07,6.683392401301569e-07
0.0153909107128253,1.8294104291860343e-06,1.976919588030839e-07,7.700070771349509e-07,5.800050215673668e-07,7.458488002575424e-07
0.0163689254797428,2.0225141484968286e-06,2.2207223566378236e-07,8.586657693255362e-07,6.480764456337783e-07,8.319156299133596e-07
0.0174090881534448,2.234150683040277e-06,2.493660410555978e-07,9.57027887137772e-07,7.23764059634595e-07,9.274249251671189e-07
0.0185153479200257,2.4658671192432296e-06,2.7990516193562205e-07,1.0660872596346364e-06,8.078655332943245e-07,1.033346009898396e-06
0.0196919049164424,2.7193157046410347e-06,3.140563840969693e-07,1.1869311288998805e-06,9.012548103932602e-07,1.1507394913944478e-06
0.0209432261771763,2.996259424196501e-06,3.5222475685029805e-07,1.3207479076215049e-06,1.004888519879356e-06,1.280764765359038e-06
0.0222740625942249,3.2985779438025546e-06,3.948570848986684e-07,1.468835544251393e-06,1.1198128910136128e-06,1.4246882204516862e-06
0.0236894669548157,3.6282736857654334e-06,4.4244565161550443e-07,1.6326104087740313e-06,1.247170844507617e-06,1.5838918730845574e-06
0.0251948131253257,3.987478559094629e-06,4.955321820737261e-07,1.813616752364882e-06,1.3882098791360473e-06,1.7598825700597471e-06
0.0267958164542425,4.378461537360436e-06,5.547121040002965e-07,2.0135367996905526e-06,1.5442903329644009e-06,1.954301926713331e-06
0.0284985554716303,4.803636962491898e-06,6.206389866576452e-07,2.234200941655823e-06,1.7168940796281849e-06,2.1689365906479587e-06
0.0303094949674878,5.265573332988651e-06,6.940293222878709e-07,2.477599093967123e-06,1.9076337549033615e-06,2.4057292552778315e-06
0.0322355105366193,5.7670031615067e-06,7.75667506191046e-07,2.745892488327436e-06,2.1182624258859156e-06,2.666789746917573e-06
0.0342839146832086,6.310832875519085e-06,8.664109519302953e-07,3.041426062362287e-06,2.350683824401749e-06,2.9544072333342522e-06
0.0364624845842072,6.9001547753518e-06,9.671957309958005e-07,3.3667413326522373e-06,2.6069626032134758e-06,3.271062884985008e-06
0.038779491616945,7.538260478225741e-06,1.0790421626452413e-06,3.724589883150808e-06,2.8893353581598454e-06,3.619443086900394e-06
0.0412437327630729,8.228655088866697e-06,1.2030606676727975e-06,4.117946977094343e-06,3.2002223771680124e-06,4.0024530244382795e-06
0.0438645640080667,8.975072533635483e-06,1.3404581261037597e-06,4.5500260468665404e-06,3.542239424010952e-06,4.423230873505062e-06
0.0466519358631018,9.781491178436892e-06,1.4925439189980303e-06,5.024293779062275e-06,3.918209833620121e-06,4.885161854437428e-06
0.0496164311441627,1.065215221481333e-05,1.6607363630777251e-06,5.544485599332825e-06,4.3311769843562854e-06,5.391893278749329e-06
0.0527693051518261,1.1591579306760588e-05,1.8465693107111838e-06,6.114621248565202e-06,4.784416454291929e-06,5.9473500378604744e-06
0.0561225284042652,1.2604599521492248e-05,2.0516984802795414e-06,6.739020753087301e-06,5.281448812453904e-06,6.555750268319987e-06
0.0596888320857217,1.3696364636136171e-05,2.277908151791471e-06,7.422320008139572e-06,5.826052626567969e-06,7.221620912456688e-06
0.0634817563829987,1.4872372579177213e-05,2.5271171276248485e-06,8.169487173553253e-06,6.422277504815587e-06,7.949813347864773e-06
0.0675157018934936,1.6138491081923987e-05,2.8013857218246066e-06,8.985839224099788e-06,7.074456699538409e-06,8.745518721429303e-06
0.0718059842999539,1.750098320556712e-05,3.102921729778315e-06,9.87705796799805e-06,7.787219748538417e-06,9.614283786522991e-06
0.0763688925195356,1.896653224284734e-05,3.4340862712782835e-06,1.0849205742586512e-05,8.565503887339567e-06,1.0562026584787553e-05
0.0812217505479433,2.0542266455505573e-05,3.7973994297019495e-06,1.1908740241407708e-05,9.414566284368391e-06,1.1595051289423333e-05
0.0863829832334518,2.2235782586134564e-05,4.1955451986055216e-06,1.3062529082043537e-05,1.0339995723503965e-05,1.2720062377549534e-05
0.0918721862305363,2.40551733598718e-05,4.631376102966051e-06,1.4317864571930733e-05,1.1347723669822199e-05,1.3944177615451893e-05
0.0977102003987026,2.600905471272992e-05,5.107916917997326e-06,1.568247697987343e-05,1.2444034417264857e-05,1.527494137432232e-05
0.1039191909289878,2.8106590148616354e-05,5.628368760872598e-06,1.716454687578382e-05,1.3635574028908551e-05,1.6720337278459233e-05
0.110522731498551,3.035751547581293e-05,6.196112442851439e-06,1.877271553675739e-05,1.4929359105436651e-05,1.8288799266001814e-05
0.1175458937728643,3.277216565715785e-05,6.814710440000311e-06,2.0516096069020284e-05,1.633278592538576e-05,1.998922139001654e-05
0.1250153425953162,3.536150161935062e-05,7.4879091991262316e-06,2.2404284141792636e-05,1.7853638065706774e-05,2.1830967028440413e-05
0.1329594372256346,3.81371374613453e-05,8.219638876991443e-06,2.444736684661828e-05,1.9500094058951464e-05,2.3823878850421595e-05
0.1414083390115016,4.111136645796216e-05,9.014015103698534e-06,2.6655931401047168e-05,2.128073382597978e-05,2.5978287747461086e-05
0.1503941259021549,4.429718829153287e-05,9.87534047521222e-06,2.904107434171014e-05,2.320454618474907e-05,2.830502248532022e-05
0.1599509142387531,4.7708341440875e-05,1.080810610870639e-05,3.1614412361648814e-05,2.528093795459292e-05,3.0815418052435736e-05
0.1701149882839033,5.135933413898573e-05,1.1816993030142148e-05,3.438809534916187e-05,2.751974440854833e-05,3.352132829458895e-05
0.1809249379821373,5.52654786353168e-05,1.2906875291024103e-05,3.737481970230087e-05,2.9931240652979087e-05,3.6435141308071865e-05
0.1924218054743714,5.944292715977692e-05,1.4082821960856583e-05,4.058784650850643e-05,3.252615484804658e-05,3.956979694611735e-05
0.2046492409226218,6.390871532335712e-05,1.5350104044968208e-05,4.404102542482754e-05,3.531568875815053e-05,4.293880857824815e-05
0.2176536682365943,6.868080935436765e-05,1.671420434687542e-05,4.774882547267898e-05,3.831154217027049e-05,4.655629163140698e-05
0.2314844613313631,7.377815739052829e-05,1.8180830040913988e-05,5.1726370450807575e-05,4.152594308392312e-05,5.0437001956537056e-05
0.2461941315853368,7.922074820250217e-05,1.975592800670292e-05,5.598948467130543e-05,4.4971682957607155e-05,5.459637986358495e-05
0.2618385272102325,8.50296785003325e-05,2.14457033926151e-05,6.055474944281503e-05,4.8662162021984705e-05,5.9050603189758374e-05
0.2784770452900065,9.1227229479266e-05,2.325664400731687e-05,6.543957180836389e-05,5.261144665362625e-05,6.381665289198574e-05
