time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
8.705078261520076e-05,0.0006091347859577821,1.9744785794996524e-09,9.641111147605996e-13,1.975442690614413e-09,1.9754426906201023e-09,-5.689348253139724e-21,2.880037107709668e-12,1.5205794326248304e-10,0.060877782645592834,0.0
9.258242089560768e-05,0.0006476145020516144,2.0992085685332544e-09,1.089955895100043e-12,2.1002985244283543e-09,2.100298524434283e-09,-5.928817040473826e-21,2.8228449296610143e-12,1.7190596510951499e-10,0.06472108527226268,0.0
9.846556689537109e-05,0.0006885096996990653,2.231768214806506e-09,1.2321822437599974e-12,2.233000397050266e-09,2.2330003970563704e-09,-6.104592920641344e-21,2.733807360127952e-12,1.94337659676521e-10,0.0688053262716527,0.0
0.0001047225571575,0.0007319700055085154,2.3726425251520178e-09,1.392913598204872e-12,2.3740354387502225e-09,2.3740354387564123e-09,-6.189792523734306e-21,2.6072873313873933e-12,2.1968793186039648e-10,0.07314538884816937,0.0
0.0001113771475999,0.0007781540535400777,2.5223457035865244e-09,1.5745468196575338e-12,2.523920250406182e-09,2.5239202504123344e-09,-6.15256939616942e-21,2.437703566570406e-12,2.4833481048194307e-10,0.07775704663491328,0.0
0.0001184546037091,0.0008272299933118867,2.6814227979867244e-09,1.779787026883042e-12,2.6832025850136074e-09,2.683202585019558e-09,-5.950737326706481e-21,2.2177741479267042e-12,2.807049422101993e-10,0.08265701316235509,0.0
0.0001259817964658,0.0008793760217645387,2.8504514244242185e-09,2.0116871750010456e-12,2.8524631115992196e-09,2.8524631116047845e-09,-5.564857570950494e-21,1.9508955429820534e-12,3.1727983386451325e-10,0.08786299355201055,0.0
0.0001339873043662,0.0009347809381349418,3.0300435657600976e-09,2.273697086226274e-12,3.032317262846324e-09,3.0323172628517386e-09,-5.414724289772119e-21,1.7856720852091344e-12,3.586035854584226e-10,0.09339373830452476,0.0
0.0001425015219259,0.0009936447307390445,3.220847473670499e-09,2.5696995055941328e-12,3.223417173176093e-09,3.2234171731813065e-09,-5.213305810615457e-21,1.6173227139167524e-12,4.05288576846549e-10,0.09926910008126716,0.0
0.0001515567750783,0.0010561791796350202,3.4235496221478268e-09,2.904077650617496e-12,3.4264536997984444e-09,3.4264536998034017e-09,-4.957293411030295e-21,1.446770873137649e-12,4.580261215400383e-10,0.10551009180518515,0.0
0.0001611874439074,0.0011226084904770934,3.6388767621048092e-09,3.281774436086664e-12,3.642158536540896e-09,3.6421585365455534e-09,-4.657440438979822e-21,1.2787582946340454e-12,5.175958075399285e-10,0.11213894762256986,0.0
0.0001714300931778,0.0011931699526124457,3.86759805456123e-09,3.708362806943069e-12,3.871306417368173e-09,3.871306417372492e-09,-4.3195371587519105e-21,1.1157828115511555e-12,5.848765901167638e-10,0.11917918597807502,0.0
0.0001823236111606,0.001268114611210144,4.11052724931473e-09,4.1901386207663335e-12,4.114717387935496e-09,4.1147173879394e-09,-3.9034653106377376e-21,9.486593956802815e-13,6.608614410763601e-10,0.1266556736499517,0.0
0.0001939093572805,0.001347707997480123,4.3685250519074835e-09,4.734182371405226e-12,4.373259234278889e-09,4.373259234282315e-09,-3.426182097194641e-21,7.834390585256269e-13,7.466670837044913e-10,0.13459469548984995,0.0
0.000206231319145,0.0014322308496073272,4.642501460496547e-09,5.348472981037547e-12,4.647849933477585e-09,4.647849933480491e-09,-2.9058854918987862e-21,6.252106960180503e-13,8.435519398544403e-10,0.14302402250957297,0.0
0.0002193362795524,0.00152197986724993,4.933418211520412e-09,6.042001003341531e-12,4.939460212523753e-09,4.939460212526114e-09,-2.360773468226341e-21,4.779415901032242e-13,9.52933984156074e-10,0.15197298292171968,0.0
0.0002332739941117,0.0016172684732500533,5.242291248744502e-09,6.824910321732113e-12,5.249116159066234e-09,5.24911615906796e-09,-1.7263259383981688e-21,3.288793553207817e-13,1.0764130924174336e-09,0.16147253321177496,0.0
