target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_fdr,spearman_p_fdr,abs_spearman_rho
t50_final_uptake_s,network_degree_cv,20,-0.166052376052513,0.4841309367410747,-0.20300751879699244,0.39066623935419653,0.6889573202873526,0.5711591418388018,0.20300751879699244
t50_final_uptake_s,network_mean_degree,20,0.13370475248648578,0.5741311002394605,0.193984962406015,0.4125038246613568,0.6889573202873526,0.5711591418388018,0.193984962406015
t50_final_uptake_s,network_throat_radius_p10_m,20,0.20170724983831234,0.39377305811294105,0.17142857142857143,0.4698861728108753,0.6443559132757217,0.604139365042554,0.17142857142857143
t50_final_uptake_s,network_geometric_tortuosity,20,-0.15329820497183208,0.5187597374169107,-0.10977443609022557,0.6450049409876997,0.6889573202873526,0.7566259899215045,0.10977443609022557
t50_final_uptake_s,network_pore_volume_cv,20,0.10942264560533518,0.6460711577749986,0.10075187969924812,0.6725564354857818,0.7268300524968734,0.7566259899215045,0.10075187969924812
t50_final_uptake_s,network_shortest_inlet_outlet_path_m,20,-0.03327305858022285,0.8892460556646636,0.04210526315789473,0.8600949015145793,0.9254270456383935,0.9106887192507311,0.04210526315789473
t50_final_uptake_s,network_mean_throat_length_m,20,0.022367270486600973,0.9254270456383935,0.021052631578947364,0.9297994024457079,0.9254270456383935,0.9297994024457079,0.021052631578947364
underutilized_particle_fraction,network_inlet_pores,20,-0.7041579934987761,0.0005293560915154848,-0.7419646453686882,0.00018031112299407912,0.009528409647278725,0.003245600213893424,0.7419646453686882
underutilized_particle_fraction,network_geometric_tortuosity,20,0.3966852382656465,0.08333172218694497,0.4279804740420139,0.05976979797789996,0.4999903331216698,0.3894309610612974,0.4279804740420139
underutilized_particle_fraction,network_shortest_inlet_outlet_path_m,20,0.40282695942645413,0.07823958328861445,0.42045884883916657,0.0649051601768829,0.4999903331216698,0.3894309610612974,0.42045884883916657
underutilized_particle_fraction,network_throat_count,20,-0.26929183667343837,0.25091402905296584,-0.28281310762706013,0.2269710103536497,0.7674297108104534,0.8097064325146833,0.28281310762706013
underutilized_particle_fraction,network_pore_count,20,-0.2852492579591953,0.2228213793722114,-0.2547986631345745,0.278301403741676,0.7674297108104534,0.8097064325146833,0.2547986631345745
underutilized_particle_fraction,network_median_pore_volume_m3,20,0.22027500933970146,0.35071509377355553,0.2158706433217188,0.36067248687000397,0.7674297108104534,0.8097064325146833,0.2158706433217188
underutilized_particle_fraction,network_minimum_throat_radius_m,20,0.2489278413025978,0.28990383262289965,0.14742385397580798,0.5350921069217449,0.7674297108104534,0.8097064325146833,0.14742385397580798
underutilized_particle_fraction,network_total_pore_volume_m3,20,0.010478262149119344,0.9650288709755289,-0.14742385397580798,0.5350921069217449,0.998074595463766,0.8097064325146833,0.14742385397580798
underutilized_particle_fraction,network_outlet_pores,20,0.15272064972140617,0.5203550011277722,0.1325538152995813,0.5774612919291575,0.93663900202999,0.8097064325146833,0.1325538152995813
underutilized_particle_fraction,network_mean_degree,20,-0.0875518125247529,0.7135903701487721,-0.1263633034078354,0.5955140480137089,0.9880482048213768,0.8097064325146833,0.1263633034078354
underutilized_particle_fraction,network_analytic_porosity,20,0.01589240751550279,0.9469793823466129,-0.12335465332669647,0.6043718529353508,0.998074595463766,0.8097064325146833,0.12335465332669647
underutilized_particle_fraction,network_degree_cv,20,-0.23289614835642708,0.3230765430506184,-0.1045505903195781,0.6609051013516336,0.7674297108104534,0.8097064325146833,0.1045505903195781
underutilized_particle_fraction,network_pore_volume_cv,20,-0.019132541387024665,0.9361888775537723,-0.10154194023843915,0.6701271441922231,0.998074595463766,0.8097064325146833,0.10154194023843915
underutilized_particle_fraction,network_mean_throat_length_m,20,0.06937063580918036,0.7713503153818457,0.10154194023843915,0.6701271441922231,0.9917361197766589,0.8097064325146833,0.10154194023843915
underutilized_particle_fraction,network_median_throat_radius_m,20,0.0005767330481735791,0.998074595463766,-0.10003761519786969,0.6747553604289027,0.998074595463766,0.8097064325146833,0.10003761519786969
underutilized_particle_fraction,network_throat_radius_p10_m,20,0.20593779321152886,0.3837148554052267,0.07220760194733451,0.7622523264993781,0.7674297108104534,0.8481591318158624,0.07220760194733451
underutilized_particle_fraction,network_mean_pore_volume_m3,20,0.11601476677827642,0.6262039886267509,0.06017300162277876,0.8010391800483145,0.9880482048213768,0.8481591318158624,0.06017300162277876
underutilized_particle_fraction,network_mean_throat_radius_m,20,0.09401648233372195,0.6933913808459083,0.009025950243416814,0.9698736769157733,0.9880482048213768,0.9698736769157734,0.009025950243416814
