seed,axial_bin,mean_loading_mol_kg,mean_loading_over_inlet_equilibrium,particle_count,z_high_m,z_low_m
137077,1,0.7431127030312246,0.32182798007885116,185,0.007212786400000001,0.0036058847
137077,2,0.23615640101885238,0.10227484634910745,194,0.0108196881,0.007212786400000001
137077,3,0.04980817825785643,0.021570974812766378,200,0.0144265898,0.0108196881
137077,4,0.007837614490043818,0.0033943217895193896,184,0.018033491500000002,0.0144265898
137077,5,0.001001184344761207,0.0004335939004228388,192,0.021640393200000003,0.018033491500000002
137077,6,0.0001002499494732447,4.341634668654773e-05,196,0.0252472949,0.021640393200000003
137077,7,8.611908822119497e-06,3.7296539401635005e-06,195,0.028854196600000003,0.0252472949
137077,8,6.517378821362092e-07,2.822552828032483e-07,192,0.032461098300000005,0.028854196600000003
137077,9,6.483810735449411e-08,2.8080151283802977e-08,119,0.036068,0.032461098300000005
145093,0,1.552220026173568,0.6722369751232614,190,0.003662975,-1.2500000000000575e-06
145093,1,0.8215277770065472,0.3557880574160722,192,0.0073272,0.003662975
145093,2,0.2785463211117411,0.12063311462194178,193,0.010991425,0.0073272
145093,3,0.057491475578306736,0.024898464770749067,194,0.014655650000000001,0.010991425
145093,4,0.009373126134794458,0.004059322682387841,195,0.018319875,0.014655650000000001
145093,5,0.0011318128837962827,0.0004901666365459398,194,0.0219841,0.018319875
145093,6,0.00012327753304097996,5.338915521945446e-05,193,0.025648325,0.0219841
145093,7,1.0770089117821092e-05,4.664320784611775e-06,194,0.02931255,0.025648325
145093,8,7.708263768925448e-07,3.3383024520360433e-07,193,0.032976775,0.02931255
145093,9,9.244510337464607e-08,4.003621626421425e-08,112,0.036641,0.032976775
153133,0,1.436819662687317,0.622259272239632,192,0.0036626806,-9.66000000000031e-07
153133,1,0.7407071718956065,0.3207861902894493,191,0.0073263272,0.0036626806
153133,2,0.23494744786220823,0.10175127172734999,194,0.010989973799999999,0.0073263272
153133,3,0.05064529021154091,0.021933512080740947,194,0.0146536204,0.010989973799999999
153133,4,0.007855076310072493,0.003401884171706379,191,0.018317266999999998,0.0146536204
153133,5,0.000974400635415068,0.00042199438524468855,196,0.021980913599999995,0.018317266999999998
153133,6,9.809370677464431e-05,4.248251897855714e-05,189,0.025644560199999996,0.021980913599999995
153133,7,8.376537463388711e-06,3.6277190807003855e-06,199,0.029308206799999997,0.025644560199999996
153133,8,6.190471140040464e-07,2.6809753279805435e-07,187,0.0329718534,0.029308206799999997
153133,9,7.58081139534122e-08,3.283105252769294e-08,117,0.0366355,0.0329718534
161123,0,1.4067538415449636,0.609238336857709,192,0.0036398273000000005,-1.0030000000000715e-06
161123,1,0.7510942992170913,0.3252846576027645,187,0.0072806576000000005,0.0036398273000000005
161123,2,0.26301689012109253,0.1139076133795221,193,0.010921487900000002,0.0072806576000000005
161123,3,0.061107915087951575,0.02646467594937488,187,0.014562318200000002,0.010921487900000002
161123,4,0.010338420551341208,0.004477373337411539,199,0.018203148500000002,0.014562318200000002
161123,5,0.0012847018278351763,0.0005563799307551739,200,0.021843978800000004,0.018203148500000002
161123,6,0.00013245256615002638,5.73626875794805e-05,182,0.025484809100000002,0.021843978800000004
161123,7,1.3045563133982877e-05,5.649785308843555e-06,198,0.029125639400000004,0.025484809100000002
161123,8,1.0049841729820056e-06,4.3523953376480423e-07,192,0.0327664697,0.029125639400000004
161123,9,1.1044609330799992e-07,4.783210268364958e-08,120,0.036407300000000004,0.0327664697
18427,0,1.5889588195566675,0.6881478478842675,190,0.0036453569000000005,-1.059000000000086e-06
18427,1,0.8792248366333665,0.3807755567286873,187,0.0072917728000000005,0.0036453569000000005
18427,2,0.3021798128793642,0.13086833047380253,195,0.010938188700000002,0.0072917728000000005
18427,3,0.06764256930086703,0.02929471042096696,196,0.014584604600000002,0.010938188700000002
18427,4,0.010597121506374802,0.004589411801379814,194,0.0182310205,0.014584604600000002
18427,5,0.001271424589163772,0.0005506298111767937,196,0.021877436400000002,0.0182310205
18427,6,0.00012946941304285106,5.6070740698701846e-05,189,0.0255238523,0.021877436400000002
18427,7,1.1544755463135827e-05,4.99981404711523e-06,193,0.029170268200000002,0.0255238523
18427,8,9.356304375243437e-07,4.0520374982218407e-07,189,0.03281668410000001,0.029170268200000002
18427,9,1.0744888213707388e-07,4.653406752279947e-08,121,0.036463100000000005,0.03281668410000001
27183,0,1.7137800872039186,0.7422055652048508,191,0.0036282016000000004,-1.476000000000038e-06
27183,1,0.9825083154413286,0.425505667282169,191,0.0072578792,0.0036282016000000004
27183,2,0.353604096302528,0.15313920970056197,193,0.0108875568,0.0072578792
27183,3,0.07975957011092512,0.034542353045575604,193,0.0145172344,0.0108875568
27183,4,0.013503272515562537,0.005848010537851291,187,0.018146912,0.0145172344
27183,5,0.0019610369293606798,0.0008492878015162414,194,0.0217765896,0.018146912
27183,6,0.0002170834036743612,9.401469390602781e-05,195,0.025406267200000002,0.0217765896
27183,7,1.9542266382642822e-05,8.463383939521367e-06,191,0.0290359448,0.025406267200000002
27183,8,1.5571535426337942e-06,6.743735872826335e-07,196,0.032665622400000004,0.0290359448
27183,9,1.696899430965033e-07,7.348948740033605e-08,119,0.0362953,0.032665622400000004
31991,0,1.59022021228546,0.6886941330874912,195,0.0036506671000000003,-1.0809999999999986e-06
31991,1,0.9054112177590657,0.392116380413819,190,0.0073024152000000005,0.0036506671000000003
31991,2,0.3031281761668122,0.13127904857878897,193,0.0109541633,0.0073024152000000005
31991,3,0.07067386798248466,0.030607508234463225,188,0.014605911400000001,0.0109541633
31991,4,0.012769955145412681,0.00553042473016776,193,0.018257659500000002,0.014605911400000001
31991,5,0.0016531299063417993,0.0007159391252440571,195,0.0219094076,0.018257659500000002
31991,6,0.00017630350564396433,7.635369557103811e-05,198,0.0255611557,0.0219094076
31991,7,1.4499848714624897e-05,6.27960873800401e-06,183,0.029212903800000002,0.0255611557
31991,8,1.1630626221567018e-06,5.037003039607244e-07,195,0.0328646519,0.029212903800000002
