time_s,cell,z_m,concentration_mol_m3,loading_mol_kg
0.0007998036509307,52,0.01868470905,7.549482395446788e-147,7.94088175357468e-153
0.0007998036509307,53,0.01904060827,1.1630427336578893e-149,1.2229301093460191e-155
0.0007998036509307,54,0.01939650749,1.7911390555895107e-152,1.8827595456736413e-158
0.0007998036509307,55,0.01975240671,2.7575488927449474e-155,2.897698990810923e-161
0.0007998036509307,56,0.02010830593,4.2440677286851555e-158,4.458425353919453e-164
0.0007998036509307,57,0.02046420515,6.529970005605554e-161,6.857786219284306e-167
0.0007998036509307,58,0.020820104370000002,1.0044174695046126e-163,1.0545441643611205e-169
0.0007998036509307,59,0.02117600359,1.5445276791942613e-166,1.6211677689563384e-172
0.0007998036509307,60,0.02153190281,2.374430552173328e-169,2.4915940541604354e-175
0.0007998036509307,61,0.02188780203,3.6492983114412764e-172,3.82839153894241e-178
0.0007998036509307,62,0.02224370125,5.607237863084049e-175,5.880964777884562e-181
0.0007998036509307,63,0.02259960047,8.61354138432484e-178,9.031861135695534e-184
0.0007998036509307,64,0.02295549969,1.322851019122233e-180,1.3867733709408247e-186
0.0007998036509307,65,0.02331139891,2.0311391670788343e-183,2.1288070048211637e-189
0.0007998036509307,66,0.02366729813,3.117963060412901e-186,3.2671757550224625e-192
0.0007998036509307,67,0.02402319735,4.785283214156979e-189,5.0132209537329964e-195
0.0007998036509307,68,0.02437909657,7.342643705640807e-192,7.690807678428848e-198
0.0007998036509307,69,0.02473499579,1.1264398526504176e-194,1.1796150841433496e-200
0.0007998036509307,70,0.02509089501,1.7277337139050808e-197,1.8089407634738977e-203
0.0007998036509307,71,0.02544679423,2.64948374027952e-200,2.7734882983130707e-206
0.0007998036509307,72,0.02580269345,4.062222078427139e-203,4.251561876185254e-209
0.0007998036509307,73,0.02615859267,6.22710557208312e-206,6.516178392204738e-212
0.0007998036509307,74,0.026514491890000002,9.544014261491745e-209,9.985314768526587e-215
0.0007998036509307,75,0.02687039111,1.4625147455227257e-211,1.5298781637192811e-217
0.0007998036509307,76,0.02722629033,2.240761888835542e-214,2.3435817505982963e-220
0.0007998036509307,77,0.02758218955,3.432569437123221e-217,3.589495035191618e-223
0.0007998036509307,78,0.02793808877,5.257423137102142e-220,5.496906361492226e-226
0.0007998036509307,79,0.02829398799,8.051156277523107e-223,8.416600887919008e-229
0.0007998036509307,80,0.02864988721,1.232755604106531e-225,1.2885170211258172e-231
0.0007998036509307,81,0.02900578643,1.8872556662939183e-228,1.9723327152997276e-234
0.0007998036509307,82,0.02936168565,2.888823942860897e-231,3.0186189518827124e-237
0.0007998036509307,83,0.02971758487,4.421295087039597e-234,4.619297779975734e-240
0.0007998036509307,84,0.03007348409,6.765773747179694e-237,7.067805277943971e-243
0.0007998036509307,85,0.03042938331,1.035205053571449e-239,1.0812733437505407e-245
0.0007998036509307,86,0.03078528253,1.5837170560824805e-242,1.6539791443837148e-248
0.0007998036509307,87,0.03114118175,2.4225481052408025e-245,2.529702423305351e-251
0.0007998036509307,88,0.03149708097,3.7052037457300075e-248,3.8686099207184685e-254
0.0007998036509307,89,0.03185298019,5.66627789020059e-251,5.9154491248994406e-257
0.0007998036509307,90,0.03220887941,8.664248845384323e-254,9.044174371569986e-260
0.0007998036509307,91,0.03256477863,1.3246842713697824e-256,1.382609884238194e-262
0.0007998036509307,92,0.03292067785,2.025085499187538e-259,2.1133965087514251e-265
0.0007998036509307,93,0.03327657707,3.095458176955919e-262,3.2300849863518674e-268
0.0007998036509307,94,0.03363247629,4.731056638465239e-265,4.936277346292249e-271
0.0007998036509307,95,0.03398837551,7.230094754435432e-268,7.542907295292614e-274
0.0007998036509307,96,0.03434427473,1.1047994255556659e-270,1.1524777396225522e-276
0.0007998036509307,97,0.03470017395,1.6880194399831775e-273,1.7606855290917055e-279
0.0007998036509307,98,0.03505607317,2.5788549679721904e-276,2.6895982122871093e-282
0.0007998036509307,99,0.03541197239,3.9454414111659196e-279,4.114461732282767e-285
0.0008506271399262,0,0.00017794961,0.07514892007072291,1.8370319821332254e-07
0.0008506271399262,1,0.00053384883,0.00026998113359921424,4.423880156724429e-10
0.0008506271399262,2,0.00088974805,6.468730861742922e-07,9.003180299494875e-13
0.0008506271399262,3,0.0012456472700000001,1.3170875867870196e-09,1.6999168764071277e-15
0.0008506271399262,4,0.00160154649,2.4874867938104406e-12,3.076515337233191e-18
0.0008506271399262,5,0.00195744571,4.502614752228452e-15,5.4149453163226776e-21
0.0008506271399262,6,0.00231334493,7.925942430171854e-18,9.341189404653402e-24
0.0008506271399262,7,0.00266924415,1.3674054973378812e-20,1.5869204714866823e-26
0.0008506271399262,8,0.00302514337,2.323165600399023e-23,2.6634699354440795e-29
0.0008506271399262,9,0.00338104259,3.8993907671223725e-26,4.426637666804381e-32
0.0008506271399262,10,0.00373694181,6.4810083478562e-29,7.297416717885573e-35
0.0008506271399262,11,0.00409284103,1.0684508506715703e-31,1.1947988903785468e-37
0.0008506271399262,12,0.00444874025,1.74941947492637e-34,1.944855266444017e-40
0.0008506271399262,13,0.00480463947,2.8477262059610263e-37,3.1498773316217525e-43
0.0008506271399262,14,0.00516053869,4.612271581064251e-40,5.079187353521363e-46
0.0008506271399262,15,0.00551643791,7.437457595484203e-43,8.158658088795449e-49
0.0008506271399262,16,0.00587233713,1.194694871565907e-45,1.3060434990896142e-51
0.0008506271399262,17,0.00622823635,1.912506970349539e-48,2.084350338116427e-54
0.0008506271399262,18,0.00658413557,3.052266692898358e-51,3.317364980043551e-57
0.0008506271399262,19,0.00694003479,4.8579244724411147e-54,5.266727461398769e-60
0.0008506271399262,20,0.00729593401,7.712648633179992e-57,8.342822751851514e-63
0.0008506271399262,21,0.00765183323,1.2217446509844114e-59,1.3188520739036479e-65
0.0008506271399262,22,0.00800773245,1.9313804683280579e-62,2.0809679793706306e-68
0.0008506271399262,23,0.00836363167,3.0474817042911066e-65,3.2778351182039127e-71
0.0008506271399262,24,0.00871953089,4.800278763537608e-68,5.154892425035665e-74
0.0008506271399262,25,0.00907543011,7.549224270643655e-71,8.094960245522976e-77
0.0008506271399262,26,0.00943132933,1.1854972719237746e-73,1.2694588486583119e-79
0.0008506271399262,27,0.00978722855,1.859119738133166e-76,1.988257665005177e-82
0.0008506271399262,28,0.01014312777,2.9118171324966995e-79,3.1103838158318595e-85
0.0008506271399262,29,0.01049902699,4.5552050677397327e-82,4.860445615833476e-88
0.0008506271399262,30,0.010854926210000001,7.11823617925233e-85,7.587335791861533e-91
0.0008506271399262,31,0.01121082543,1.1111887087422317e-87,1.1832626862105277e-93
0.0008506271399262,32,0.01156672465,1.7329329516306135e-90,1.8436427001574568e-96
0.0008506271399262,33,0.01192262387,2.7000966046690664e-93,2.870112855999693e-99
0.0008506271399262,34,0.01227852309,4.203425565824267e-96,4.464458495394411e-102
0.0008506271399262,35,0.01263442231,6.538451669079059e-99,6.939136962504016e-105
0.0008506271399262,36,0.01299032153,1.0162796620057262e-101,1.0777715144863315e-107
0.0008506271399262,37,0.01334622075,1.5784689248427837e-104,1.6728186246813218e-110
0.0008506271399262,38,0.013702119970000001,2.4499638215188244e-107,2.5946992427346864e-113
0.0008506271399262,39,0.01405801919,3.8001369490960796e-110,4.022121615056774e-116
0.0008506271399262,40,0.01441391841,5.890725142635978e-113,6.231123408432279e-119
0.0008506271399262,41,0.01476981763,9.126015219879534e-116,9.647894673061932e-122
0.0008506271399262,42,0.01512571685,1.413020964554375e-118,1.4930179724061799e-124
0.0008506271399262,43,0.01548161607,2.186664971593588e-121,2.3092676826980597e-127
0.0008506271399262,44,0.01583751529,3.382147931814994e-124,3.570015238402692e-130
0.0008506271399262,45,0.01619341451,5.228648564093729e-127,5.5164739459645105e-133
0.0008506271399262,46,0.01654931373,8.079453202639897e-130,8.52034861687767e-136
0.0008506271399262,47,0.01690521295,1.2478969888895975e-132,1.3154232154680116e-138
0.0008506271399262,48,0.01726111217,1.926583375904191e-135,2.029988370998763e-141
0.0008506271399262,49,0.01761701139,2.973149537486717e-138,3.131472663863326e-144
0.0008506271399262,50,0.01797291061,4.586408034705578e-141,4.8287801220675694e-147
0.0008506271399262,51,0.01832880983,7.072326851424961e-144,7.443313092642377e-150
0.0008506271399262,52,0.01868470905,1.090164355683971e-146,1.1469412260456676e-152
0.0008506271399262,53,0.01904060827,1.679838854133229e-149,1.7667198884887165e-155
0.0008506271399262,54,0.01939650749,2.5875866200072873e-152,2.720515636640741e-158
0.0008506271399262,55,0.01975240671,3.984548696829711e-155,4.187904804108149e-161
0.0008506271399262,56,0.02010830593,6.133740555261865e-158,6.444796541079804e-164
0.0008506271399262,57,0.02046420515,9.439271495792559e-161,9.915006464364322e-167
0.0008506271399262,58,0.020820104370000002,1.4521882228788956e-163,1.5249390554131457e-169
0.0008506271399262,59,0.02117600359,2.2334848817081762e-166,2.3447242240530898e-172
0.0008506271399262,60,0.02153190281,3.434178783882755e-169,3.604248718289262e-175
0.0008506271399262,61,0.02188780203,5.278936825394343e-172,5.538920728818979e-178
0.0008506271399262,62,0.02224370125,8.11255071444994e-175,8.509940063474475e-181
0.0008506271399262,63,0.02259960047,1.2464053997152295e-177,1.3071402355618629e-183
0.0008506271399262,64,0.02295549969,1.9145007121376766e-180,2.0073144738921607e-186
0.0008506271399262,65,0.02331139891,2.940013184554812e-183,3.0818342450563242e-189
0.0008506271399262,66,0.02366729813,4.513813758973367e-186,4.7304962700849904e-192
0.0008506271399262,67,0.02402319735,6.9285370955148755e-189,7.259563531416638e-195
0.0008506271399262,68,0.02437909657,1.0632755350162357e-191,1.1138414726772101e-197
0.0008506271399262,69,0.02473499579,1.6313950897103836e-194,1.708629507348315e-200
0.0008506271399262,70,0.02509089501,2.5025577678340354e-197,2.6205142855123694e-203
0.0008506271399262,71,0.02544679423,3.8381608486142044e-200,4.018293346451061e-206
0.0008506271399262,72,0.02580269345,5.885436744913381e-203,6.16049332899646e-209
0.0008506271399262,73,0.02615859267,9.023041546253434e-206,9.44300608994911e-212
0.0008506271399262,74,0.026514491890000002,1.3830826445946346e-208,1.4471983689153131e-214
0.0008506271399262,75,0.02687039111,2.1196605270750124e-211,2.2175370529318133e-217
0.0008506271399262,76,0.02722629033,3.247951303216304e-214,3.3973529220210533e-220
0.0008506271399262,77,0.02758218955,4.975991785843551e-217,5.204023633287859e-223
0.0008506271399262,78,0.02793808877,7.622169595588128e-220,7.970186079566177e-226
0.0008506271399262,79,0.02829398799,1.1673690013514814e-222,1.2204780931450416e-228
0.0008506271399262,80,0.02864988721,1.7875986743309682e-225,1.8686393981988306e-231
0.0008506271399262,81,0.02900578643,2.736943726002803e-228,2.8605964635481485e-234
0.0008506271399262,82,0.02936168565,4.1898385430250314e-231,4.378494594748616e-237
0.0008506271399262,83,0.02971758487,6.413067688197919e-234,6.700877043458002e-240
0.0008506271399262,84,0.03007348409,9.814608108998677e-237,1.0253650844827393e-242
0.0008506271399262,85,0.03042938331,1.5018278033389155e-239,1.5687972882331955e-245
