target,feature,spearman_rho,bootstrap_valid,ci95_low,ci95_high
final_uptake_mol_kg,network_throat_radius_p10_m,-0.08270676691729321,5000,-0.5363811717782974,0.40001517450682833
final_uptake_mol_kg,network_mean_pore_volume_m3,-0.07218045112781954,5000,-0.5128993124123771,0.39898150295821044
final_uptake_mol_kg,network_mean_degree,0.06766917293233082,5000,-0.3888111638900257,0.5310207180884848
final_uptake_mol_kg,inlet_mean_pore_volume_m3,-0.05864661654135337,5000,-0.4954271767736674,0.37291679658538934
final_uptake_mol_kg,network_mean_throat_radius_m,-0.0015037593984962405,5000,-0.45513034326990987,0.46940552148187037
t50_final_uptake_s,inlet_to_internal_unique_second_layer_pores,-0.8137291926002233,5000,-0.9177138352875844,-0.5762743846735533
t50_final_uptake_s,inlet_pore_volume_fraction,-0.7774436090225564,5000,-0.9216664786209667,-0.480967182741731
t50_final_uptake_s,inlet_total_pore_volume_m3,-0.7729323308270677,5000,-0.9228441754916791,-0.48440945726856405
t50_final_uptake_s,network_inlet_pores,-0.7706517996791267,5000,-0.9331551225363149,-0.487334071055181
t50_final_uptake_s,inlet_to_internal_throat_count,-0.739908229027618,5000,-0.887292800906035,-0.45466570897017233
t50_final_uptake_s,inlet_polar_cell_coverage,-0.5446129158749342,5000,-0.8278067482039702,-0.11739449808737701
t50_final_uptake_s,network_mean_throat_radius_m,0.5112781954887218,5000,0.08371067021970548,0.8165380812723158
t50_final_uptake_s,network_median_throat_radius_m,0.5052631578947367,5000,0.04562573087203476,0.7974182133042199
t50_final_uptake_s,inlet_mean_pair_distance_over_D,-0.4330827067669173,5000,-0.7627711802119322,-0.006784398129510038
t50_final_uptake_s,effective_inlet_to_interior_conductance_m3_s,-0.41503759398496237,5000,-0.806727851097004,0.11463687372741946
t50_final_uptake_s,network_mean_pore_volume_m3,0.3924812030075188,5000,-0.07459047559791081,0.7555618345304078
t50_final_uptake_s,network_pore_count,0.3799850586599202,5000,-0.09589041095890409,0.7137861941568038
t50_final_uptake_s,network_analytic_porosity,0.35037593984962395,5000,-0.14851705405033697,0.6871737394616679
t50_final_uptake_s,network_median_pore_volume_m3,0.34736842105263155,5000,-0.1621273623948131,0.7407161860426414
t50_final_uptake_s,network_total_pore_volume_m3,0.34736842105263155,5000,-0.1287878787878788,0.6911430734292201
t50_final_uptake_s,network_throat_count,0.34586466165413526,5000,-0.1193118217961528,0.6967433901493608
t50_final_uptake_s,inlet_mean_pore_volume_m3,-0.33533834586466166,5000,-0.6712121212121213,0.06293124472105546
t50_final_uptake_s,inlet_angular_resultant,0.3218045112781954,5000,-0.17074098117407024,0.7336730337816579
