seed,axial_bin,mean_loading_mol_kg,mean_loading_over_inlet_equilibrium,particle_count,z_high_m,z_low_m
40213,1,0.7840914361322024,0.3395750901017085,188,0.0072747232,0.0036367761000000005
40213,2,0.27005705439021815,0.11695657464328992,195,0.010912670300000002,0.0072747232
40213,3,0.05982427935507404,0.025908757724072178,193,0.014550617400000002,0.010912670300000002
40213,4,0.010241328914227023,0.0044353247957467975,191,0.0181885645,0.014550617400000002
40213,5,0.001388840272678667,0.0006014803108399499,195,0.0218265116,0.0181885645
40213,6,0.0001359200256532799,5.8864378350456865e-05,195,0.0254644587,0.0218265116
40213,7,1.1852861806657199e-05,5.133249045306611e-06,197,0.0291024058,0.0254644587
40213,8,9.285082715766648e-07,4.0211927519084194e-07,185,0.0327403529,0.0291024058
40213,9,1.1001752675443885e-07,4.764649865925422e-08,119,0.0363783,0.0327403529
47837,0,1.4534244438915678,0.6294504872098741,197,0.003670265600000001,-1.616000000000074e-06
47837,1,0.7514438675938055,0.32543604901905776,188,0.007342147200000001,0.003670265600000001
47837,2,0.2530010237551231,0.10956993212585607,194,0.011014028800000002,0.007342147200000001
47837,3,0.054013638319799856,0.023392279591323856,194,0.014685910400000004,0.011014028800000002
47837,4,0.0083825883512362,0.0036303396051587853,195,0.018357792000000005,0.014685910400000004
47837,5,0.001059647128966752,0.00045891302048889116,194,0.022029673600000004,0.018357792000000005
47837,6,0.00010443468620245672,4.52286765837901e-05,196,0.025701555200000007,0.022029673600000004
47837,7,9.706050672748722e-06,4.203505968626192e-06,191,0.029373436800000007,0.025701555200000007
47837,8,8.205350839897523e-07,3.5535814094831395e-07,190,0.0330453184,0.029373436800000007
47837,9,9.306582331964694e-08,4.030503826830519e-08,111,0.036717200000000005,0.0330453184
52691,0,1.5192667395031982,0.6579655333314248,194,0.0036694716000000007,-1.0760000000000283e-06
52691,1,0.7910305864160363,0.34258030412940627,193,0.0073400192000000015,0.0036694716000000007
52691,2,0.26275089828958753,0.11379241737560299,188,0.011010566800000003,0.0073400192000000015
52691,3,0.05742037658403863,0.02486767314840483,197,0.014681114400000004,0.011010566800000003
52691,4,0.008750327384131727,0.0037896003870969254,197,0.018351662000000005,0.014681114400000004
52691,5,0.0010843633500859167,0.0004696171458328887,190,0.022022209600000005,0.018351662000000005
52691,6,0.00011864004009707361,5.138074521558915e-05,194,0.025692757200000006,0.022022209600000005
52691,7,1.0008709620925175e-05,4.3345818034855575e-06,193,0.029363304800000007,0.025692757200000006
52691,8,8.111590607171182e-07,3.5129756357062193e-07,191,0.03303385240000001,0.029363304800000007
52691,9,8.596474722761043e-08,3.722969725238085e-08,113,0.036704400000000005,0.03303385240000001
61417,0,1.222225648397162,0.5293226855357563,193,0.0036522612999999996,-1.5430000000000088e-06
61417,1,0.6033684702575743,0.2613074103486323,189,0.0073060656,0.0036522612999999996
61417,2,0.19660694468971984,0.0851467289159075,193,0.010959869899999999,0.0073060656
61417,3,0.04166783623436776,0.01804554748541215,199,0.0146136742,0.010959869899999999
61417,4,0.0066186044137729536,0.0028663917071217347,192,0.0182674785,0.0146136742
61417,5,0.0008255496975423597,0.00035752987471619145,191,0.021921282799999997,0.0182674785
61417,6,8.678333077107428e-05,3.7584210218239386e-05,198,0.025575087099999998,0.021921282799999997
61417,7,7.44321835459277e-06,3.2235163233964637e-06,194,0.0292288914,0.025575087099999998
61417,8,5.67291027412408e-07,2.4568295592885335e-07,190,0.0328826957,0.0292288914
61417,9,6.724408768379946e-08,2.9122135610448586e-08,111,0.0365365,0.0328826957
69371,0,1.5680474957504118,0.6790915512096307,188,0.0036520494000000002,-1.334000000000079e-06
69371,1,0.8723991521734716,0.377819482591584,193,0.0073054328,0.0036520494000000002
69371,2,0.2845291871585922,0.12322418013204049,193,0.0109588162,0.0073054328
69371,3,0.06149059673441487,0.026630408093088965,200,0.0146121996,0.0109588162
69371,4,0.009602991609442998,0.004158873048159072,194,0.018265583000000002,0.0146121996
69371,5,0.0011858303373938252,0.0005135605684614997,195,0.021918966400000003,0.018265583000000002
69371,6,0.0001155740527904699,5.005292441827704e-05,200,0.0255723498,0.021918966400000003
69371,7,9.305449250810272e-06,4.0300131109300835e-06,191,0.029225733200000003,0.0255723498
69371,8,6.414697872164255e-07,2.778083661594979e-07,194,0.0328791166,0.029225733200000003
69371,9,7.372292360774786e-08,3.192799624257265e-08,102,0.0365325,0.0328791166
74167,0,1.3999042814463332,0.6062719226355068,200,0.0037325241,-1.1510000000000166e-06
74167,1,0.6523561936629054,0.28252306176717185,194,0.007466199200000001,0.0037325241
74167,2,0.19203054808549014,0.08316477857490104,195,0.0111998743,0.007466199200000001
74167,3,0.039098668062194204,0.01693288960732613,200,0.014933549400000001,0.0111998743
74167,4,0.0054481734213874065,0.002359500302137505,197,0.0186672245,0.014933549400000001
74167,5,0.0006577460579836689,0.00028485730950667996,202,0.0224008996,0.0186672245
