seed,status,error,bed_height_m,porosity,network_ready_for_transport,result_directory,solver_success,physical_bounds_ok,cells,fit_weighting,effective_diffusivity_m2_s,effective_over_molecular_diffusivity,fit_normalized_rmse,final_homogeneous_loading_mol_kg,maximum_relative_mass_balance_error,final_reference_loading_mol_kg,final_loading_error_mol_kg,final_loading_relative_error,maximum_absolute_mass_balance_residual_mol,final_relative_mass_balance_error,fit_at_bound,case_qa_pass
90709,succeeded,,0.035797144,0.44938657236188645,True,co2_homogeneous_campaign_100cells/seed_90709,True,True,100,time,8.559966050932071e-07,0.05706644033954714,0.02117229229913417,0.27355046395001553,1.2986875180773102e-07,0.2847758578739309,-0.011225393923915417,-0.039418348197496615,1.4374019264754665e-13,7.066140379105485e-11,False,True
98251,succeeded,,0.035392063,0.44339975747362975,True,co2_homogeneous_campaign_100cells/seed_98251,True,True,100,time,1.0719761696508922e-06,0.07146507797672615,0.008916168423022846,0.3075855932430359,1.2122508549593127e-07,0.3129742683579579,-0.00538867511492197,-0.017217629881184943,1.1382751316525426e-13,5.5793553847253725e-11,False,True
105019,succeeded,,0.035724320999999996,0.44828252181082967,True,co2_homogeneous_campaign_100cells/seed_105019,True,True,100,time,4.340114878862916e-07,0.02893409919241944,0.02459968140319202,0.19547865618215565,1.635447225828103e-07,0.2055532556608265,-0.010074599478670898,-0.04901211341208095,1.4144053715926677e-13,9.730731461171614e-11,False,True
113117,succeeded,,0.035860424,0.4503219317936816,True,co2_homogeneous_campaign_100cells/seed_113117,True,True,100,time,8.693662240582694e-07,0.05795774827055129,0.011920635786956098,0.27540726359783707,1.2930857763102352e-07,0.281763344934014,-0.0063560813361769886,-0.022558226435257275,1.379011684845503e-13,7.083296182117488e-11,False,True
121021,succeeded,,0.035734117,0.4482225253014753,True,co2_homogeneous_campaign_100cells/seed_121021,True,True,100,time,7.588818215129808e-07,0.05059212143419872,0.02072926894013662,0.25788821245596305,1.3415952029108495e-07,0.2685458230112915,-0.01065761055532849,-0.03968637618645951,1.1356152957322337e-13,5.8134707043427874e-11,False,True
129121,succeeded,,0.035401105,0.4434945160551283,True,co2_homogeneous_campaign_100cells/seed_129121,True,True,100,time,5.303161922398666e-07,0.03535441281599111,0.01971848823582205,0.2169785513286774,1.509558069378074e-07,0.226316329052256,-0.009337777723578577,-0.04125984970983911,1.2308831686582282e-13,7.998014557103273e-11,False,True
137077,succeeded,,0.035296067,0.44153612435641787,True,co2_homogeneous_campaign_100cells/seed_137077,True,True,100,time,6.832211598050066e-07,0.04554807732033377,0.013667660380037838,0.2463451342607911,1.3898574058137793e-07,0.2521114080676108,-0.005766273806819683,-0.022871927339651738,1.1316661570815909e-13,5.4320517716386045e-11,False,True
145093,succeeded,,0.035598278,0.44666858828097594,True,co2_homogeneous_campaign_100cells/seed_145093,True,True,100,time,7.951500928624066e-07,0.0530100061908271,0.014977479438977832,0.26455630118760554,1.3268149870911693e-07,0.2725654795364886,-0.008009178348883095,-0.02938441934210858,1.268651262398301e-13,6.444390530988723e-11,False,True
153133,succeeded,,0.035722874,0.4485407451820323,True,co2_homogeneous_campaign_100cells/seed_153133,True,True,100,time,6.448128612002848e-07,0.042987524080018984,0.019988451123711205,0.23802227585864627,1.420731549899474e-07,0.2478319171685908,-0.009809641309944606,-0.03958183200137,1.227674046694701e-13,7.967451765878415e-11,False,True
161123,succeeded,,0.03562482300000001,0.44675521948994823,True,co2_homogeneous_campaign_100cells/seed_161123,True,True,100,time,6.449193527532435e-07,0.0429946235168829,0.01757607564064924,0.23830915263081795,1.414770254888669e-07,0.2473262503070457,-0.009017097676227798,-0.0364583123102923,1.224236844169467e-13,7.900457202484079e-11,False,True
